"University","CostIState","CostOState"
"Beis Medrash Heichal Dovid",9375,9375
"Yeshiva and Kolel Bais Medrash Elyon",11500,11500
"Yeshiva Shaarei Torah of Rockland",12500,12500
"Monroe College",14976,14976
"Franklin W. Olin College of Engineering",51936,51936
"California State University Channel Islands",6802,18682
"Antioch University Santa Barbara",22575,22575
"Antioch University Seattle",27435,27435
"Capella University",12060,12060
"Keystone College",26670,26670
"International Baptist College",11250,11250
"Art Institute of California - Hollywood",NA,NA
"New Saint Andrews College",12350,12350
"SUM Bible College & Theological Seminary",NA,NA
"Art Institute of Michigan",NA,NA
"Gutenberg College",13650,13650
"Penn State DuBois",13632,21266
"Penn State Worthington Scranton",14460,22378
"Harrisburg University of Science and Technology",23900,23900
"Penn State Hazleton",14460,22378
"Penn State Greater Allegheny",13694,21328
"Penn State Brandywine",14460,22378
"Penn State Beaver",13694,21328
"Penn State Mont Alto",13694,21328
"Penn State New Kensington",13694,21328
"Penn State Shenango",13324,20810
"Penn State Fayette, The Eberly Campus",13632,21266
"Penn State York",14460,22378
"Virginia University of Lynchburg",9000,9000
"Patrick Henry College",27922,27922
"University of Washington Bothell",10911,35475
"Kaplan University",NA,NA
"Davenport University",21740,21740
"Stratford University - Woodbridge",16750,16750
"Art Institute of Houston",24024,24024
"University of California, Merced",13598,41612
"Adventist University of Health Sciences",14250,14250
"Holy Cross College",29734,29734
"Boston Baptist College",12600,12600
"Bob Jones University",16500,16500
"Randall University",12640,12640
"Luther Rice University",9050,9050
"Trinity Baptist College",11640,11640
"Watkins College of Art",23700,23700
"Florida Career College",NA,NA
"Southern California Seminary",12250,12250
"Apex School of Theology",6200,6200
"Midwest University",7770,7770
"University of Washington Tacoma",11046,35610
"Everglades University - Orlando",NA,NA
"Art Institute of California - Inland Empire",NA,NA
"Art Institute of California - Sacramento",NA,NA
"Rasmussen College - Lake Elmo/Woodbury",13455,13455
"Ecclesia College",15140,15140
"Southwest University",8554,8554
"Full Sail University",NA,NA
"Argosy University, Atlanta",NA,NA
"Argosy University, Twin Cities",NA,NA
"Argosy University, Sarasota",NA,NA
"Argosy University, Phoenix",NA,NA
"Argosy University, Washington DC",NA,NA
"Argosy University, San Francisco Bay Area",NA,NA
"Argosy University, Tampa",NA,NA
"Argosy University, Seattle",NA,NA
"Argosy University, Hawaii",NA,NA
"Argosy University, Nashville",NA,NA
"Argosy University, Dallas",NA,NA
"Argosy University, Los Angeles",NA,NA
"Argosy University, San Diego",NA,NA
"Argosy University, Denver",NA,NA
"Argosy University, Inland Empire",NA,NA
"Argosy University, Salt Lake City",NA,NA
"California Miramar University",12180,12180
"Argosy University, Schaumburg",NA,NA
"Trident University International",NA,NA
"Argosy University, Orange County",NA,NA
"West Coast University",NA,NA
"Denver School of Nursing",NA,NA
"Ex'pression College for Digital Arts",NA,NA
"Georgia Gwinnett College",6124,16838
"Chamberlain College of Nursing ",19500,19500
"Chamberlain College of Nursing ",19500,19500
"Chamberlain College of Nursing ",19500,19500
"Chamberlain College of Nursing",19500,19500
