"University","CollegeType","Undergraduates","EntranceDifficulty","AdmitRate","Applicants","City","State"
"westminster college","private",1168,"moderately difficult",0.91,2125,"new wilmington","PA"
"centenary university","private",1518,"moderately difficult",0.88,1160,"hackettstown","NJ"
"wheelock college","private",726,"minimally difficult",0.84,1305,"boston","MA"
"central connecticut state university","public",9538,"moderately difficult",0.6,7810,"new britain","CT"
"wheaton college","private",1651,"very difficult",0.62,4478,"norton","MA"
"widener university","private",3591,"moderately difficult",0.7,5175,"chester","PA"
"chatham university","private",1002,"moderately difficult",0.53,1926,"pittsburgh","PA"
"wilkes university","private",2561,"moderately difficult",0.76,4245,"wilkes barre","PA"
"chestnut hill college","private",1369,"moderately difficult",0.94,1242,"philadelphia","PA"
"william paterson university","public",9103,"moderately difficult",0.76,10787,"wayne","NJ"
"cheyney university of pennsylvania","public",997,"minimally difficult",0.85,1127,"cheyney","PA"
"clarion university of pennsylvania","public",4330,"",NA,NA,"clarion","PA"
"williams college","private",2076,"most difficult",0.18,6985,"williamstown","MA"
"wilson college","private",571,"moderately difficult",0.53,450,"chambersburg","PA"
"clark university","private",2289,"moderately difficult",0.55,7914,"worcester","MA"
"clarkson university","private",3268,"very difficult",0.68,7066,"potsdam","NY"
"colby college","private",1857,"most difficult",0.23,7593,"waterville","ME"
"worcester polytechnic institute","private",4432,"very difficult",0.48,10468,"worcester","MA"
"colgate university","private",2853,"most difficult",0.27,8724,"hamilton","NY"
"molloy college","private",3598,"moderately difficult",0.77,4030,"rockville centre","NY"
"monmouth university","private",4707,"moderately difficult",0.77,9097,"west long branch","NJ"
"cooper union","private",876,"",NA,NA,"new york","NY"
"worcester state university","public",5381,"moderately difficult",0.71,3876,"worcester","MA"
"drew university","private",1521,"moderately difficult",0.57,3494,"madison","NJ"
"montclair state university","public",16810,"moderately difficult",0.7,11990,"montclair","NJ"
"moore college of art & design","private",406,"moderately difficult",0.56,557,"philadelphia","PA"
"yale university","private",5532,"most difficult",0.07,30236,"new haven","CT"
"yeshiva university","private",2744,"moderately difficult",0.8,1558,"new york","NY"
"gannon university","private",3098,"moderately difficult",0.78,4710,"erie","PA"
"york college of pennsylvania","private",4537,"moderately difficult",0.43,13235,"york","PA"
"colby-sawyer college","private",1090,"moderately difficult",0.87,1989,"new london","NH"
"fitchburg state university","public",4162,"moderately difficult",0.75,3566,"fitchburg","MA"
"green mountain college","private",515,"moderately difficult",0.79,881,"poultney","VT"
"lim college","private for profit",1499,"",NA,NA,"new york","NY"
"moravian college","private",2006,"moderately difficult",0.8,2512,"bethlehem","PA"
"mount holyoke college","private",2202,"very difficult",0.52,3543,"south hadley","MA"
"johnson & wales university","private",8718,"moderately difficult",0.82,11971,"providence","RI"
"mount st. mary college","private",2128,"moderately difficult",0.9,3747,"newburgh","NY"
"california state university long beach","public",32246,"moderately difficult",0.32,60732,"long beach","CA"
"college of mount st. vincent","private",1702,"moderately difficult",0.93,2667,"riverdale","NY"
"ohio state universitiy lima","public",999,"noncompetitive",0.99,1078,"lima","OH"
"ohio state university mansfield","public",1189,"noncompetitive",0.99,1607,"mansfield","OH"
"ohio state universitity marion","public",1083,"noncompetitive",0.99,873,"marion","OH"
"ohio state university newark","public",2448,"noncompetitive",0.99,2831,"newark","OH"
"clarkson college","private",658,"moderately difficult",0.55,87,"omaha","NE"
"university of puerto rico rio piedras","public",15356,"very difficult",0.36,8290,"san juan","PR"
"paul quinn college","private",243,"moderately difficult",0.99,632,"dallas","TX"
"wiley college","private",925,"minimally difficult",0.4,976,"marshall","TX"
"ursuline college","private",706,"minimally difficult",0.66,374,"pepper pike","OH"
"university of maine augusta","public",4683,"noncompetitive",0.98,1025,"augusta","ME"
"university of texas dallas","public",17350,"very difficult",0.68,12686,"richardson","TX"
