"University","CollegeType","Undergraduates","EntranceDifficulty","AdmitRate","Applicants","City","State"
"oklahoma baptist university","private",1904,"moderately difficult",0.6,4955,"shawnee","OK"
"metropolitan state university of denver","public",19940,"minimally difficult",0.64,7228,"denver","CO"
"marian university","private",2147,"moderately difficult",0.59,2191,"indianapolis","IN"
"mount mary university","private",807,"moderately difficult",0.56,689,"milwaukee","WI"
"davis & elkins college","private",640,"moderately difficult",0.75,351,"elkins","WV"
"kent state university","public",23684,"moderately difficult",0.85,16145,"kent","OH"
"lawrence technological university","private",2164,"moderately difficult",0.69,2318,"southfield","MI"
"harvey mudd college","private",829,"most difficult",0.13,4180,"claremont","CA"
"dordt college","private",1376,"moderately difficult",0.75,1355,"sioux center","IA"
"texas tech university","public",29963,"moderately difficult",0.63,23311,"lubbock","TX"
"university of nebraska omaha","public",12335,"minimally difficult",0.71,4955,"omaha","NE"
"oklahoma panhandle state university","public",1387,"noncompetitive",1,316,"goodwell","OK"
"mount vernon nazarene university","private",1831,"moderately difficult",0.74,1276,"mount vernon","OH"
"southern arkansas university","public",3286,"moderately difficult",0.69,3460,"magnolia","AR"
"southwestern assemblies of god university","private",1774,"noncompetitive",0.23,2097,"waxahachie","TX"
"memphis college of art","private",366,"moderately difficult",0.38,958,"memphis","TN"
"university of puget sound","private",2508,"moderately difficult",0.83,6098,"tacoma","WA"
"xavier university of louisiana","private",2327,"moderately difficult",0.48,6640,"new orleans","LA"
"master's college","private",1390,"moderately difficult",0.83,446,"santa clarita","CA"
"washburn university","public",5793,"noncompetitive",0.99,1458,"topeka","KS"
"new jersey city university","public",6663,"moderately difficult",0.85,3987,"jersey city","NJ"
"university of san diego","private",5711,"very difficult",0.51,14413,"san diego","CA"
"black hills state university","public",4020,"",NA,NA,"spearfish","SD"
"california state university bakersfield","public",8093,"",1,5756,"bakersfield","CA"
"university of texas tyler","public",6318,"moderately difficult",0.64,2468,"tyler","TX"
"pacific northwest college of art","private",405,"minimally difficult",0.95,312,"portland","OR"
"university of houston downtown","public",12865,"noncompetitive",0.83,4187,"houston","TX"
"university of minnesota morris","public",1771,"moderately difficult",0.58,3414,"morris","MN"
"dickinson state university","public",1381,"minimally difficult",0.92,362,"dickinson","ND"
"university of texas san antonio","public",24724,"moderately difficult",0.76,15500,"san antonio","TX"
"dominican university of california","private",1391,"moderately difficult",0.78,2049,"san rafael","CA"
"indiana university south bend","public",6653,"moderately difficult",0.77,2451,"south bend","IN"
"adams state university","public",2002,"moderately difficult",0.99,1957,"alamosa","CO"
"georgetown college","private",986,"moderately difficult",0.66,2127,"georgetown","KY"
"university of texas health science center houston","public",677,"moderately difficult",NA,NA,"houston","TX"
"university of louisville","public",15827,"moderately difficult",0.73,10165,"louisville","KY"
"university of the incarnate word","private",6423,"moderately difficult",0.93,3887,"san antonio","TX"
"florida institute of technology","private",3629,"moderately difficult",0.61,9503,"melbourne","FL"
"rose-hulman institute of technology","private",2202,"very difficult",0.61,4241,"terre haute","IN"
"minneapolis college of art & design","private",690,"moderately difficult",0.88,473,"minneapolis","MN"
"marshall university","public",9615,"moderately difficult",0.89,4891,"huntington","WV"
"dominican college","private",1478,"noncompetitive",0.75,1751,"orangeburg","NY"
"college for creative studies","private",1401,"moderately difficult",0.46,1388,"detroit","MI"
"university of central oklahoma","public",15067,"minimally difficult",0.7,5122,"edmond","OK"
"la sierra university","private",2103,"minimally difficult",0.45,4328,"riverside","CA"
"fairmont state university","public",3807,"minimally difficult",0.66,2943,"fairmont","WV"
"franklin university","private",4676,"noncompetitive",NA,NA,"columbus","OH"
"wofford college","private",1622,"very difficult",0.7,2937,"spartanburg","SC"
"newberry college","private",1070,"moderately difficult",0.6,1445,"newberry","SC"
"davidson college","private",1796,"very difficult",0.2,5618,"davidson","NC"
"shepherd university","public",3436,"moderately difficult",0.92,1546,"shepherdstown","WV"
"lewis-clark state college","public",3633,"minimally difficult",0.99,1117,"lewiston","ID"
"mary baldwin university","private",1310,"moderately difficult",0.99,2706,"staunton","VA"
"marian university","private",1487,"moderately difficult",0.77,1245,"fond du lac","WI"
"northwest university","private",1820,"moderately difficult",0.99,525,"kirkland","WA"
"gardner-webb university","private",2343,"moderately difficult",0.1,4310,"boiling springs","NC"
"university of maryland eastern shore","public",3758,"moderately difficult",0.57,4409,"princess anne","MD"
"california state university northridge","public",35552,"moderately difficult",0.48,32913,"northridge","CA"
"western washington university","public",14592,"moderately difficult",0.83,10519,"bellingham","WA"
"st. cloud state university","public",13236,"moderately difficult",0.85,6986,"st cloud","MN"
"oklahoma wesleyan university","private",1229,"minimally difficult",0.85,235,"bartlesville","OK"
"luther college","private",2169,"moderately difficult",0.68,3856,"decorah","IA"
"cornish college of the arts","private",720,"moderately difficult",0.66,1139,"seattle","WA"
"angelo state university","public",8094,"moderately difficult",0.74,4368,"san angelo","TX"
"university of california riverside","public",19799,"very difficult",0.66,42629,"riverside","CA"
"university of montana western","public",1505,"minimally difficult",0.73,785,"dillon","MT"
"texas wesleyan university","private",1905,"moderately difficult",0.41,2959,"fort worth","TX"
"university of mobile","private",1376,"moderately difficult",0.62,935,"mobile","AL"
"east tennessee state university","public",11065,"moderately difficult",0.8,6835,"johnson city","TN"
"university of california santa cruz","public",16231,"very difficult",0.51,44871,"santa cruz","CA"
"notre dame de namur university","private",1213,"moderately difficult",0.87,1922,"belmont","CA"
"sterling college","private",650,"minimally difficult",0.37,1033,"sterling","KS"
"our lady of the lake university","private",1347,"",NA,NA,"san antonio","TX"
"flagler college","private",2614,"",0.55,4794,"st augustine","FL"
"new mexico institute of mining & technology","public",1569,"moderately difficult",0.23,1663,"socorro","NM"
"southern utah university","public",8407,"moderately difficult",0.72,10573,"cedar city","UT"
"san diego christian college","private",880,"minimally difficult",0.52,433,"santee","CA"
"mayville state university","public",1056,"noncompetitive",0.57,413,"mayville","ND"
"ottawa university","private",531,"moderately difficult",0.7,1419,"ottawa","KS"
"oregon state university","public",25327,"moderately difficult",0.77,14595,"corvallis","OR"
"south dakota school of mines & technology","public",2485,"moderately difficult",0.85,1368,"rapid city","SD"
"university of alaska southeast","public",3073,"noncompetitive",NA,NA,"juneau","AK"
"central washington university","public",11047,"moderately difficult",0.79,7340,"ellensburg","WA"
"wayne state college","public",2837,"noncompetitive",1,1764,"wayne","NE"
"george fox university","private",2569,"moderately difficult",0.78,2980,"newberg","OR"
"california lutheran university","private",2892,"moderately difficult",0.64,6013,"thousand oaks","CA"
"portland state university","public",21633,"moderately difficult",0.89,6373,"portland","OR"
"dakota state university","public",2844,"minimally difficult",0.81,911,"madison","SD"
"earlham college","private",1031,"very difficult",0.58,2917,"richmond","IN"
"kansas wesleyan university","private",693,"moderately difficult",0.55,805,"salina","KS"
"prairie view a&m university","public",7455,"moderately difficult",0.85,5660,"prairie view","TX"
"letourneau university","private",2253,"moderately difficult",0.44,1842,"longview","TX"
"corban university","private",1022,"moderately difficult",0.35,2474,"salem","OR"
"university of kansas","public",19262,"moderately difficult",0.93,15015,"lawrence","KS"
"illinois wesleyan university","private",1771,"very difficult",0.58,3841,"bloomington","IL"
"grand view university","private",1910,"minimally difficult",0.97,886,"des moines","IA"
"university of florida","public",34554,"very difficult",0.46,30118,"gainesville","FL"
"eastern kentucky university","public",14327,"minimally difficult",0.71,10215,"richmond","KY"
"muskingum university","private",1549,"moderately difficult",0.77,1819,"new concord","OH"
"stillman college","private",1072,"minimally difficult",0.44,3491,"tuscaloosa","AL"
"d'youville college","private",1716,"moderately difficult",0.83,927,"buffalo","NY"
"maryville university of saint louis","private",2967,"moderately difficult",0.93,1846,"st louis","MO"
"west texas a&m university","public",7389,"moderately difficult",0.6,6163,"canyon","TX"
"college of mount st. joseph","private",1336,"minimally difficult",0.88,1029,"cincinnati","OH"
"marygrove college","private",780,"moderately difficult",0.42,548,"detroit","MI"
"sam houston state university","public",17902,"moderately difficult",0.72,12540,"huntsville","TX"
"hannibal-lagrange university","private",1303,"minimally difficult",NA,NA,"hannibal","MO"
"east texas baptist university","private",1339,"moderately difficult",0.51,1397,"marshall","TX"
"northeastern illinois university","public",7665,"minimally difficult",0.71,6203,"chicago","IL"
"san diego state university","public",29853,"moderately difficult",0.35,60691,"san diego","CA"
"university of mary","private",2049,"minimally difficult",0.96,900,"bismarck","ND"
"eastern michigan university","public",17541,"moderately difficult",0.73,14736,"ypsilanti","MI"
"judson university","private",1123,"moderately difficult",0.75,676,"elgin","IL"
"principia college","private",479,"moderately difficult",0.91,165,"elsah","IL"
"minnesota state university moorhead","public",5205,"moderately difficult",0.6,4261,"moorhead","MN"
"heidelberg university","private",1123,"moderately difficult",0.79,1663,"tiffin","OH"
"university of evansville","private",2348,"moderately difficult",0.71,4033,"evansville","IN"
"national louis university","private",1463,"minimally difficult",0.8,401,"chicago","IL"
"eureka college","private",672,"minimally difficult",0.65,1046,"eureka","IL"
"case western reserve university","private",5152,"very difficult",0.35,23115,"cleveland","OH"
"calvary bible college & theological seminary","private",231,"noncompetitive",0.98,44,"kansas city","MO"
"university of michigan flint","public",6585,"moderately difficult",0.65,4033,"flint","MI"
"california state university dominguez hills","public",12562,"moderately difficult",0.58,4615,"carson","CA"
"johnson c. smith university","private",1326,"moderately difficult",0.45,5841,"charlotte","NC"
"rollins college","private",1942,"moderately difficult",0.61,5445,"winter park","FL"
"mississippi university for women","public",2470,"moderately difficult",0.96,671,"columbus","MS"
"delaware valley university","private",1967,"moderately difficult",0.68,2233,"doylestown","PA"
"georgia college & state university","public",6047,"moderately difficult",0.85,3980,"milledgeville","GA"
"university of georgia","public",27951,"moderately difficult",0.54,22694,"athens","GA"
"st. norbert college","private",2102,"moderately difficult",0.81,3605,"de pere","WI"
"lewis university","private",4553,"moderately difficult",0.59,6199,"romeoville","IL"
"st. ambrose university","private",2398,"moderately difficult",0.64,4426,"davenport","IA"
"pfeiffer university","private",1089,"moderately difficult",0.71,912,"misenheimer","NC"
"university of illinois chicago","public",17959,"moderately difficult",0.74,17931,"chicago","IL"
"missouri western state university","public",5120,"noncompetitive",0.75,3669,"st joseph","MO"
"university of illinois urbana-champaign","public",32695,"very difficult",0.62,33203,"champaign","IL"
"brigham young university hawaii","private",2555,"moderately difficult",0.58,1295,"laie","HI"
"california college of the arts","private",1528,"",NA,NA,"san francisco","CA"
"north park university","private",2205,"moderately difficult",0.52,3961,"chicago","IL"
"missouri baptist university","private",4631,"moderately difficult",0.51,1005,"st louis","MO"
"university of mount union","private",2140,"moderately difficult",0.77,2525,"alliance","OH"
"missouri valley college","private",1785,"minimally difficult",0.46,3265,"marshall","MO"
"miami university","public",16981,"moderately difficult",0.65,29771,"oxford","OH"
"university of minnesota duluth","public",9967,"moderately difficult",0.77,7973,"duluth","MN"
"university of minnesota","public",34871,"moderately difficult",0.44,49129,"minneapolis","MN"
"ashford university","private for profit",9866,"minimally difficult",NA,NA,"san diego","CA"
"macmurray college","private",552,"moderately difficult",0.54,1076,"jacksonville","IL"
"minnesota state university mankato","public",13459,"",NA,NA,"mankato","MN"
"malone university","private",1311,"moderately difficult",0.73,1762,"canton","OH"
"maharishi university of management","private",337,"moderately difficult",0.89,83,"fairfield","IA"
"grinnell college","private",1699,"very difficult",0.2,7370,"grinnell","IA"
"greenville college","private",994,"moderately difficult",0.58,1093,"greenville","IL"
"indiana university northwest","public",5244,"minimally difficult",0.76,1723,"gary","IN"
"illinois college","private",958,"moderately difficult",0.54,4462,"jacksonville","IL"
"indiana university southeast","public",5486,"minimally difficult",0.84,2177,"new albany","IN"
"hamline university","private",2184,"moderately difficult",0.7,4252,"st paul","MN"
"lincoln university","public",2618,"noncompetitive",0.52,5077,"jefferson city","MO"
"illinois institute of technology","private",2991,"moderately difficult",0.53,4403,"chicago","IL"
"edgewood college","private",1661,"moderately difficult",0.78,1035,"madison","WI"
"indiana university purdue university indianapolis","public",21748,"moderately difficult",0.74,13301,"indianapolis","IN"
"harris-stowe state university","public",1464,"noncompetitive",NA,NA,"st louis","MO"
"ohio dominican university","private",1796,"moderately difficult",0.52,1969,"columbus","OH"
"loras college","private",1463,"moderately difficult",0.92,1269,"dubuque","IA"
"juilliard school","private",580,"most difficult",0.07,2533,"new york","NY"
"nichols college","private",1272,"",NA,NA,"dudley","MA"
"kean university","public",11812,"moderately difficult",0.74,8785,"union","NJ"
"ithaca college","private",6221,"moderately difficult",0.7,14380,"ithaca","NY"
"eugene lang college the new school for liberal arts","private",1663,"",NA,NA,"new york","NY"
"lyndon state college","public",1323,"moderately difficult",0.93,1021,"lyndonville","VT"
"keene state college","public",4165,"moderately difficult",0.83,5466,"keene","NH"
"graceland university","private",1446,"moderately difficult",0.48,2440,"lamoni","IA"
"keuka college","private",1730,"moderately difficult",0.94,1996,"keuka park","NY"
"ferris state university","public",12866,"minimally difficult",0.78,10883,"big rapids","MI"
"evangel university","private",1464,"moderately difficult",0.75,1123,"springfield","MO"
"elizabeth city state university","public",1310,"moderately difficult",0.54,1550,"elizabeth city","NC"
"haverford college","private",1268,"most difficult",0.21,4066,"haverford","PA"
"johnson state college","public",1458,"moderately difficult",0.86,1291,"johnson","VT"
"howard university","private",6883,"moderately difficult",0.49,15163,"washington","DC"
"western new mexico university","public",2219,"noncompetitive",1,788,"silver city","NM"
"duke university","private",6639,"most difficult",0.12,30112,"durham","NC"
"fort valley state university","public",2229,"moderately difficult",0.24,2228,"fort valley","GA"
"east carolina university","public",22969,"moderately difficult",0.7,17135,"greenville","NC"
"eastern mennonite university","private",1259,"moderately difficult",0.61,1215,"harrisonburg","VA"
"hampton university","private",3836,"moderately difficult",0.65,11165,"hampton","VA"
"faulkner university","private",2583,"minimally difficult",0.45,2446,"montgomery","AL"
"grambling state university","public",3883,"noncompetitive",0.45,6340,"grambling","LA"
"florida memorial university","private",1669,"noncompetitive",0.39,5286,"miami dade","FL"
"goldey-beacom college","private",625,"",NA,NA,"wilmington","DE"
"harding university","private",4419,"moderately difficult",0.7,2217,"searcy","AR"
"fayetteville state university","public",5543,"minimally difficult",0.57,4594,"fayetteville","NC"
"florida agricultural & mechanical university","public",7769,"moderately difficult",0.31,6988,"tallahassee","FL"
"george mason university","public",23062,"",NA,NA,"fairfax","VA"
"emory university","private",6861,"most difficult",0.25,19924,"atlanta","GA"
"florida southern college","private",2386,"moderately difficult",0.46,6192,"lakeland","FL"
"guilford college","private",1809,"moderately difficult",0.77,2620,"greensboro","NC"
"new york institute of technology","private",3609,"moderately difficult",0.73,10135,"old westbury","NY"
"freed-hardeman university","private",1402,"moderately difficult",0.96,791,"henderson","TN"
"gallaudet university","private",1121,"moderately difficult",0.66,511,"washington","DC"
"university of new mexico","public",20522,"moderately difficult",0.5,13517,"albuquerque","NM"
"louisiana state university","public",26118,"moderately difficult",0.76,18122,"baton rouge","LA"
"university of miami","private",10849,"very difficult",0.38,32525,"coral gables","FL"
"jackson state university","public",7492,"minimally difficult",0.69,8516,"jackson","MS"
"kentucky state university","public",1568,"",NA,NA,"frankfort","KY"
"lane college","private",1427,"minimally difficult",0.5,5311,"jackson","TN"
"university of maryland baltimore county","public",11142,"moderately difficult",0.57,10812,"baltimore","MD"
"livingstone college","private",1175,"minimally difficult",0.72,3110,"salisbury","NC"
"morris college","private",754,"noncompetitive",0.78,2551,"sumter","SC"
"maryland institute college of art","private",1679,"very difficult",0.57,3475,"baltimore","MD"
"milligan college","private",892,"moderately difficult",0.65,603,"milligan college","TN"
"mississippi valley state university","public",2011,"minimally difficult",0.84,2605,"itta bena","MS"
"millsaps college","private",809,"moderately difficult",0.59,4269,"jackson","MS"
"mount st. mary's university","private",1729,"moderately difficult",0.62,6086,"emmitsburg","MD"
"maryville college","private",1213,"moderately difficult",0.67,1701,"maryville","TN"
"rowan university","public",14363,"moderately difficult",0.58,13382,"glassboro","NJ"
"mississippi college","private",3004,"moderately difficult",0.82,1958,"clinton","MS"
"university of montevallo","public",2409,"moderately difficult",0.65,2334,"montevallo","AL"
"oral roberts university","private",3288,"moderately difficult",0.21,2635,"tulsa","OK"
"goddard college","private",194,"minimally difficult",0.56,16,"plainfield","VT"
"university of nebraska kearney","public",5056,"moderately difficult",0.85,2815,"kearney","NE"
"california institute of the arts","private",949,"very difficult",0.25,2145,"valencia","CA"
"brigham young university","private",30979,"moderately difficult",0.51,12739,"provo","UT"
"mercer university","private",3046,"moderately difficult",0.69,4836,"macon","GA"
"california state university stanislaus","public",8099,"moderately difficult",0.74,7618,"turlock","CA"
"baylor university","private",14348,"moderately difficult",0.4,34636,"waco","TX"
"southern university new orleans","public",2590,"noncompetitive",0.79,801,"new orleans","LA"
"california state university san bernardino","public",18453,"moderately difficult",0.58,15740,"san bernardino","CA"
"spalding university","private",1316,"moderately difficult",0.51,990,"louisville","KY"
"california state polytechnic university pomona","public",23733,"moderately difficult",0.59,32920,"pomona","CA"
"norfolk state university","public",5356,"moderately difficult",0.67,2817,"norfolk","VA"
"california state university los angeles","public",20668,"moderately difficult",0.61,31011,"los angeles","CA"
"felician college","private",1648,"moderately difficult",0.79,2173,"lodi","NJ"
"boise state university","public",20209,"moderately difficult",0.82,8330,"boise","ID"
"california state university chico","public",16471,"moderately difficult",0.67,23124,"chico","CA"
"benedictine college","private",2133,"minimally difficult",0.98,2182,"atchison","KS"
"nicholls state university","public",5695,"noncompetitive",0.88,2424,"thibodaux","LA"
"university of louisiana lafayette","public",15870,"moderately difficult",0.55,10899,"lafayette","LA"
"southern university & agricultural & mechanical college","public",6459,"moderately difficult",0.57,2943,"baton rouge","LA"
"meredith college","private",1685,"moderately difficult",0.61,1923,"raleigh","NC"
"fairleigh dickinson university metropolitan campus","private",5357,"moderately difficult",0.77,4095,"teaneck","NJ"
"university of california berkeley","public",27496,"",0.15,78924,"berkeley","CA"
"university of california san diego","public",28127,"very difficult",0.36,84209,"la jolla","CA"
"north carolina central university","public",6285,"minimally difficult",0.67,8614,"durham","NC"
"university of california los angeles","public",30873,"very difficult",0.18,97121,"los angeles","CA"
"new mexico state university","public",12027,"moderately difficult",0.6,7618,"las cruces","NM"
"curry college","private",2688,"moderately difficult",0.89,6143,"milton","MA"
"arizona state university","public",42477,"moderately difficult",0.83,24764,"tempe","AZ"
"lubbock christian university","private",1471,"moderately difficult",1,815,"lubbock","TX"
"dallas baptist university","private",3223,"moderately difficult",0.43,3259,"dallas","TX"
"idaho state university","public",11087,"minimally difficult",1,2950,"pocatello","ID"
"university of hawaii","public",13132,"moderately difficult",0.8,7861,"honolulu","HI"
"hastings college","private",1183,"moderately difficult",0.71,1688,"hastings","NE"
"university of houston clear lake","public",5570,"minimally difficult",0.95,1056,"houston","TX"
"huston-tillotson university","private",965,"moderately difficult",0.36,2423,"austin","TX"
"university of hawaii hilo","public",3362,"moderately difficult",0.71,1679,"hilo","HI"
"howard payne university","private",1098,"moderately difficult",0.88,953,"brownwood","TX"
"lamar university","public",9326,"minimally difficult",0.76,5613,"beaumont","TX"
"john f. kennedy university","private",287,"noncompetitive",NA,NA,"pleasant hill","CA"
"colorado mesa university","public",9595,"minimally difficult",0.83,7152,"grand junction","CO"
"midamerica nazarene university","private",1309,"minimally difficult",0.52,1077,"olathe","KS"
"university of nebraska","public",20182,"moderately difficult",0.76,9724,"lincoln","NE"
"langston university","public",2160,"moderately difficult",0.61,9244,"langston","OK"
"hope international university","private",853,"moderately difficult",0.32,1006,"fullerton","CA"
"northern arizona university","public",26506,"moderately difficult",0.78,36511,"flagstaff","AZ"
"mills college","private",819,"moderately difficult",0.84,1052,"oakland","CA"
"minot state university","public",3136,"moderately difficult",0.6,846,"minot","ND"
"mount st. mary's university","private",2831,"",NA,NA,"los angeles","CA"
"nebraska wesleyan university","private",1816,"moderately difficult",0.74,1803,"lincoln","NE"
"national university","private",8314,"noncompetitive",NA,NA,"la jolla","CA"
"northern state university","public",3075,"minimally difficult",0.89,959,"aberdeen","SD"
"pepperdine university","private",3542,"very difficult",0.37,11111,"malibu","CA"
"university of northern colorado","public",9503,"moderately difficult",0.9,6784,"greeley","CO"
"montana state university northern","public",1208,"moderately difficult",0.64,378,"havre","MT"
"peru state college","public",2094,"noncompetitive",0.49,869,"peru","NE"
"university of redlands","private",3493,"moderately difficult",0.68,4790,"redlands","CA"
"northwest nazarene university","private",1517,"moderately difficult",0.55,1589,"nampa","ID"
"pacific union college","private",1550,"moderately difficult",0.45,2041,"angwin","CA"
"pitzer college","private",1089,"very difficult",0.14,4142,"claremont","CA"
"occidental college","private",2062,"very difficult",0.46,6409,"los angeles","CA"
"san francisco art institute","private",338,"moderately difficult",0.38,492,"san francisco","CA"
"st. john's college","private",326,"moderately difficult",0.63,298,"santa fe","NM"
"seattle pacific university","private",3095,"moderately difficult",0.87,4034,"seattle","WA"
"samuel merritt university","private",738,"",NA,NA,"oakland","CA"
"university of san francisco","private",6745,"moderately difficult",0.71,15441,"san francisco","CA"
"tarleton state university","public",11463,"moderately difficult",0.74,6433,"stephenville","TX"
"university of south dakota","public",7500,"moderately difficult",0.88,3607,"vermillion","SD"
"vanguard university of southern california","private",1881,"moderately difficult",0.58,1352,"costa mesa","CA"
"university of southern california","private",18794,"most difficult",0.17,54280,"los angeles","CA"
"texas southern university","public",6915,"noncompetitive",0.51,10239,"houston","TX"
"woodbury university","private",1135,"moderately difficult",0.66,1487,"burbank","CA"
"texas woman's university","public",10408,"minimally difficult",0.86,5414,"denton","TX"
"whittier college","private",1615,"moderately difficult",0.69,5146,"whittier","CA"
"southwestern college","private",1226,"minimally difficult",0.92,395,"winfield","KS"
"colorado state university pueblo","public",5006,"moderately difficult",0.96,6178,"pueblo","CO"
"utah state university","public",24838,"moderately difficult",0.9,15401,"logan","UT"
"westminster college","private",2127,"moderately difficult",0.94,1938,"salt lake city","UT"
"southern methodist university","private",6521,"moderately difficult",0.49,13250,"dallas","TX"
"fordham university","private",9258,"very difficult",0.48,42811,"new york","NY"
"baruch college","public",15210,"very difficult",0.31,20789,"new york","NY"
"concordia college new york","private",1185,"moderately difficult",0.71,974,"bronxville","NY"
"lehman college","public",11477,"moderately difficult",0.32,14318,"bronx","NY"
"wichita state university","public",11823,"noncompetitive",0.96,6306,"wichita","KS"
"covenant college","private",1044,"moderately difficult",0.94,615,"lookout mountain","GA"
"kentucky christian university","private",602,"moderately difficult",0.48,886,"grayson","KY"
"dickinson college","private",2420,"very difficult",0.43,6172,"carlisle","PA"
"tabor college","private",670,"moderately difficult",0.56,631,"hillsboro","KS"
"golden gate university","private",458,"moderately difficult",NA,NA,"san francisco","CA"
"mcpherson college","private",637,"moderately difficult",0.63,887,"mcpherson","KS"
"texas a&m university commerce","public",7605,"moderately difficult",0.45,7986,"commerce","TX"
"concordia university irvine","private",1925,"moderately difficult",0.65,3839,"irvine","CA"
"eastern washington university","public",11217,"",NA,NA,"cheney","WA"
"fresno pacific university","private",2439,"moderately difficult",0.68,644,"fresno","CA"
"queens college","public",16326,"very difficult",0.41,18142,"queens","NY"
"doane college","private",1047,"",NA,NA,"crete","NE"
"southern new hampshire university","private",3020,"moderately difficult",0.93,4207,"manchester","NH"
"university of the sacred heart","private",4635,"moderately difficult",0.35,5261,"san juan","PR"
"saint mary's college of california","private",2802,"moderately difficult",0.8,4711,"moraga","CA"
"pontifical catholic university of puerto rico","private",5371,"moderately difficult",0.83,1798,"ponce","PR"
"university of texas el paso","public",20521,"minimally difficult",1,8684,"el paso","TX"
"university of puerto rico bayamon","public",4927,"very difficult",0.23,5443,"bayamón","PR"
"franklin & marshall college","private",2255,"very difficult",0.36,6953,"lancaster","PA"
"universidad adventista de las antillas","private",1256,"minimally difficult",0.81,513,"mayagüez","PR"
"university of puerto rico cayey","public",3830,"moderately difficult",0.78,2471,"cayey","PR"
"lincoln university","public",1824,"minimally difficult",0.87,3685,"lincoln university","PA"
"university of puerto rico ponce","public",3229,"moderately difficult",0.74,1222,"ponce","PR"
"jacksonville university","private",2889,"moderately difficult",0.49,5506,"jacksonville","FL"
"university of puerto rico arecibo","public",4352,"very difficult",0.47,2588,"arecibo","PR"
"california baptist university","private",6937,"moderately difficult",0.64,4971,"riverside","CA"
"university of puerto rico mayaguez","public",12758,"moderately difficult",0.77,3275,"mayagüez","PR"
"georgetown university","private",7453,"most difficult",0.17,19997,"washington","DC"
"ball state university","public",17011,"",NA,NA,"muncie","IN"
"aquinas college","private",1654,"moderately difficult",0.91,1706,"grand rapids","MI"
"ashland university","private",4536,"moderately difficult",0.67,3443,"ashland","OH"
"alverno college","private",1413,"moderately difficult",0.74,698,"milwaukee","WI"
"augsburg college","private",2550,"moderately difficult",0.45,3487,"minneapolis","MN"
"baldwin wallace university","private",3305,"moderately difficult",0.6,4515,"berea","OH"
"adrian college","private",1647,"moderately difficult",0.56,4675,"adrian","MI"
"canisius college","private",2595,"moderately difficult",0.78,4620,"buffalo","NY"
"lewis & clark college","private",2134,"very difficult",0.55,7796,"portland","OR"
"murray state university","public",8886,"moderately difficult",0.85,6479,"murray","KY"
"carroll college","private",1373,"moderately difficult",0.71,3005,"helena","MT"
"curtis institute of music","private",135,"most difficult",NA,NA,"philadelphia","PA"
"new jersey institute of technology","public",8008,"moderately difficult",0.61,6045,"newark","NJ"
"niagara university","private",3136,"moderately difficult",0.83,3359,"niagara university","NY"
"nyack college","private",1451,"minimally difficult",1,455,"nyack","NY"
"elon university","private",6008,"moderately difficult",0.6,10098,"elon","NC"
"emory & henry college","private",1024,"",0.7,1455,"emory","VA"
"ferrum college","private",1451,"minimally difficult",0.73,3286,"ferrum","VA"
"fisk university","private",805,"moderately difficult",0.81,3004,"nashville","TN"
"georgia state university","public",25455,"moderately difficult",0.53,17467,"atlanta","GA"
"university of colorado boulder","public",27846,"moderately difficult",0.77,34047,"boulder","CO"
"university of dallas","private",1342,"moderately difficult",0.64,2228,"irving","TX"
"friends university","private",1192,"moderately difficult",0.55,749,"wichita","KS"
"five towns college","private for profit",654,"moderately difficult",0.62,382,"dix hills","NY"
"edward waters college","private",751,"noncompetitive",0.23,1611,"jacksonville","FL"
"hellenic college","private",92,"minimally difficult",0.65,68,"brookline","MA"
"judson college","private",374,"moderately difficult",0.63,329,"marion","AL"
"kansas city art institute","private",635,"moderately difficult",0.65,778,"kansas city","MO"
"philander smith college","private",765,"minimally difficult",0.52,3330,"little rock","AR"
"empire state college","public",10191,"noncompetitive",0.76,904,"saratoga springs","NY"
"cumberland university","private",1254,"moderately difficult",0.46,713,"lebanon","TN"
"lourdes university","private",1125,"moderately difficult",0.89,919,"sylvania","OH"
"thomas edison state college","public",16506,"noncompetitive",NA,NA,"trenton","NJ"
"union institute & university","private",837,"noncompetitive",NA,NA,"cincinnati","OH"
"university of pittsburgh greensburg","public",1520,"moderately difficult",0.76,2670,"greensburg","PA"
"loma linda university","private",1232,"",NA,NA,"loma linda","CA"
"concordia university texas","private",1567,"moderately difficult",0.83,853,"austin","TX"
"athens state university","public",3025,"noncompetitive",NA,NA,"athens","AL"
"brewton-parker college","private",666,"minimally difficult",NA,NA,"mt vernon","GA"
"life university","private",718,"minimally difficult",0.92,280,"marietta","GA"
"rush university","private",166,"moderately difficult",0.37,398,"chicago","IL"
"indiana university east","public",4287,"moderately difficult",0.6,1226,"richmond","IN"
"louisiana state university health sciences center","public",873,"",NA,NA,"new orleans","LA"
"bay path college","private",1893,"moderately difficult",0.6,1542,"longmeadow","MA"
"endicott college","private",3268,"moderately difficult",0.79,3619,"beverly","MA"
"baker college of flint","private",24099,"minimally difficult",1,8662,"flint","MI"
"university of nebraska medical center","public",1013,"",NA,NA,"omaha","NE"
"granite state college","public",1851,"noncompetitive",1,289,"concord","NH"
"beth medrash govoha","private",2747,"moderately difficult",NA,NA,"lakewood","NJ"
"vaughn college of aeronautics & technology","private",1540,"moderately difficult",0.69,800,"flushing","NY"
"metropolitan college of new york","private",697,"moderately difficult",0.4,257,"new york","NY"
