"University","CostIState","CostOState"
"Western Oregon University",23742,39525
"Montana Tech of the University of Montana",20999,35829
"Union College",34696,34696
"University of Idaho",21300,37624
"Menlo College",57933,57933
"Texas Christian University",62970,62970
"Northwest Christian University",40720,40720
"Concordia University Portland",43114,43114
"Whitworth University",57824,57824
"Evergreen State College",21382,38842
"University of Denver",65376,65376
"Regis University",49942,49942
"Rocky Mountain College",40276,40276
"Southeastern Oklahoma State University",17617,26257
"DeVry University - Phoenix",NA,NA
"DeVry University - Pomona",NA,NA
"Westmont College",60930,60930
"United States Air Force Academy",NA,NA
"DeVry University - Irving",NA,NA
"Oklahoma Christian University",34860,34860
"Houston Baptist University",45894,45894
"Texas A&M University - Kingsville",22825,35275
"University of Alaska Fairbanks",20898,36288
"California Institute of Technology",68901,68901
"University of Utah",23682,42925
"University of North Texas",24447,36897
"San Francisco Conservatory of Music",64945,64945
"University of Hawaii - West Oahu",NA,NA
"Valley City State University",14890,24063
"Academy of Art University",47488,47488
"Holy Names University",56092,56092
"University of Wyoming",19777,31387
"Washington State University",25936,40362
"Claremont McKenna College",71745,71745
"Oregon Institute of Technology",22581,39871
"Prescott College",40631,40631
"Weber State University",17985,27533
"Alliant International University",NA,NA
"University of Sioux Falls",39785,39785
"Fort Hays State University",14001,23824
"Bethel College",41040,41040
"St. Edward's University",59990,59990
"Simpson University",40575,40575
"Linfield College",56712,56712
"Otis College of Art and Design",62160,62160
"National American University - Rapid City",NA,NA
"Western State Colorado University",23411,34883
"University of California, Irvine",33826,61840
"Rice University",63458,63458
"Gonzaga University",57350,57350
"University of Nevada, Las Vegas",24102,38290
"Cogswell Polytechnical College",NA,NA
"University of North Dakota",21073,32950
"Thomas Aquinas College",35738,35738
"American Jewish University",51763,51763
"University of Science and Arts of Oklahoma",18354,28704
"University of Texas at Arlington",24660,39860
"Texas Lutheran University",42550,42550
"Whitman College",64504,64504
"University of Arizona",28177,51607
"Southern California Institute of Architecture",NA,NA
"Kansas State University",27489,42846
"University of St. Mary",40358,40358
"University of La Verne",59784,59784
"Colorado State University",26493,44001
"University of Oklahoma",28384,43765
"University of Tulsa",59385,59385
"North Dakota State University",17702,29728
"Oklahoma City University",43550,43550
"Point Loma Nazarene University",49844,49844
"Loyola Marymount University",65735,65735
"Trinity University",56880,56880
"University of Oregon",27502,50542
"Pacific University",57486,57486
"Walla Walla University",39030,39030
"University of Houston",NA,NA
"Texas A&M University",27581,54332
"Patten University",NA,NA
"New Mexico Highlands University",18620,21954
"University of Portland",59950,59950
"Pittsburg State University",19508,30560
"University of Washington",26595,51159
"Reed College",70720,70720
"Southwestern Adventist University",32102,32102
"St. Mary's University",43520,43520
"San Jose State University",28059,39219
"Sierra Nevada College",49003,49003
"Scripps College",71060,71060
"University of Montana",20403,38211
"Seattle University",59607,59607
"Southwestern Oklahoma State University",19597,26497
"South Dakota State University",25003,28251
"San Francisco State University",26720,38600
"Santa Clara University",69439,69439
"Wayland Baptist University",32346,32346
"Southern Nazarene University",36484,36484
"Sul Ross State University",21677,34127
"Southern Oregon University",26368,41712
"Stanford University",69584,69584
"Stephen F. Austin State University",23051,35501
"University of the Southwest",27735,27735
"Texas State University",22575,35025
"Southwestern University",54330,54330
"Fashion Institute of Technology",23428,32808
"Cornell University",70371,70371
"University of Texas at Austin",25178,50808
"Brooklyn College (City University of New York)",NA,NA
"College of Saint Mary",30970,30970
"York College",NA,NA
"East Stroudsburg University of Pennsylvania",20395,31633
"Gettysburg College",67710,67710
"Lehigh University",65925,65925
"Hartwick College",58027,58027
"Gwynedd-Mercy College",49150,49150
"College of the Holy Cross",66220,66220
"King's College",51640,51640
"Lafayette College",66890,66890
"Elizabethtown College",58490,58490
"Lancaster Bible College",35500,35500
"Sonoma State University",25858,37738
"Dominican University",45272,45272
"Governors State University",25084,33244
"Indiana Wesleyan University",36963,36963
"Illinois State University",28295,39402
"Erskine College",50960,50960
"Iowa Wesleyan College",44624,44624
"Loyola University Chicago",60408,60408
"Kenyon College",69200,69200
"Roosevelt University",48590,48590
"John Carroll University",55370,55370
"Crown College",39730,39730
"Knox College",56554,56554
"Indiana University Bloomington",25171,49483
"Ripon College",52341,52341
"Florida State University",22625,37791
"University of Michigan - Dearborn",NA,NA
"Missouri University of Science and Technology",23141,41003
"Northern Illinois University",26109,35574
"University of the Pacific",64796,64796
"Colorado Christian University",43736,43736
"Florida International University",23690,36088
"Cameron University",15891,25221
"William Carey University",27952,27952
"McDaniel College",55830,55830
"Fontbonne University",40776,40776
"Wheeling Jesuit University",40206,40206
"University of Missouri - Kansas City",27005,41732
