"University","IndexVal","SchoolID","Reason"
"Resurrection University","1223","1357","Not Applicable"
"Saint Luke's College of Health Sciences","1232","1367","Not Applicable"
"Mount Carmel College of Nursing","1235","1372","Not Applicable"
"Arizona Christian University","1238","1376","Not Applicable"
"Nazarene Bible College","1242","1382","Not Applicable"
"Baptist Missionary Association Theological Seminary","1246","1387","Not Applicable"
"Salish Kootenai College","1252","1398","Not Applicable"
"Nebraska Methodist College","1254","1400","Not Applicable"
"Goldfarb School of Nursing at Barnes-Jewish College","1260","1409","Not Applicable"
"Columbia College of Nursing","1261","1411","Not Applicable"
"Bellin College","1262","1412","Not Applicable"
"Lakeview College of Nursing","1265","1416","Not Applicable"
"The Art Institute of Atlanta","1268","1420","Not Applicable"
"Caribbean University","1269","1421","Not Applicable"
"Universidad del Este","1270","1422","Not Applicable"
"University of Puerto Rico, Medical Sciences Campus","1271","1423","Not Applicable"
"Inter American University of Puerto Rico - Aguadilla Campus","1272","1425","Not Applicable"
"Inter American University of Puerto Rico - Arecibo Campus","1273","1426","Not Applicable"
"Inter American University of Puerto Rico - Barranquitas Campus","1274","1427","Not Applicable"
"Inter American University of Puerto Rico - Bayamon Campus","1275","1428","Not Applicable"
"Inter American University of Puerto Rico - Fajardo Campus","1276","1429","Not Applicable"
"Inter American University of Puerto Rico - Guayama Campus","1277","1430","Not Applicable"
"Inter American University of Puerto Rico - Ponce Campus","1278","1432","Not Applicable"
"Universidad del Turabo","1279","1433","Not Applicable"
"Universidad Metropolitana","1280","1434","Not Applicable"
"Interior Designers Institute","1283","1439","Not Applicable"
"Capitol College","1290","1447","Not Applicable"
"Glenville State College","1322","1479","Not Applicable"
"DeVry University - Atlanta","1338","1495","Not Applicable"
"Louisiana State University Shreveport","1348","1505","Not Applicable"
"United States Naval Academy","1399","1560","Not Applicable"
"Wilmington University","1431","1594","Not Applicable"
"Our Lady of Holy Cross College","1453","1616","Not Applicable"
"Walsh College","1554","1722","Not Applicable"
"American Academy of Art","17","1818","Not Applicable"
"Art Institute of Phoenix","18","1819","Not Applicable"
"Hamilton Technical College","19","1820","Not Applicable"
"Beth Hatalmud Rabbinical College","22","1825","Not Applicable"
"Columbia College","23","1827","Not Applicable"
"Independence University","24","1828","Not Applicable"
"Carlos Albizu University - Miami","26","1830","Not Applicable"
"Jefferson College of Health Sciences","29","1835","Not Applicable"
"Dalton State College","30","1836","Not Applicable"
"EDP University of Puerto Rico","31","1841","Not Applicable"
"Escuela de Artes Plasticas de Puerto Rico","32","1844","Not Applicable"
"Grantham University","33","1846","Not Applicable"
"Machzikei Hadath Rabbinical College","39","1861","Not Applicable"
"Northeast Catholic College","40","1863","Not Applicable"
"Midstate College","42","1867","Not Applicable"
"National American University - Rio Rancho","45","1871","Not Applicable"
"New Orleans Baptist Theological Seminary - Leavell College","46","1872","Not Applicable"
"Ohio University Southern","47","1875","Not Applicable"
"Ohio University Lancaster","48","1876","Not Applicable"
"Ohio University Zanesville","49","1877","Not Applicable"
"Ohio University Eastern","50","1878","Not Applicable"
"Oregon College of Art & Craft","52","1880","Not Applicable"
"Our Lady of the Lake College","53","1881","Not Applicable"
"St. Augustine College","59","1891","Not Applicable"
"Telshe Yeshiva - Chicago","64","1898","Not Applicable"
"University of Puerto Rico at Aguadilla","67","1901","Not Applicable"
"University of Puerto Rico at Utuado","68","1902","Not Applicable"
"University of South Carolina Beaufort","69","1903","Not Applicable"
"Yeshiva Shaar Hatorah","73","1911","Not Applicable"
"Yeshiva Zichron Moshe","74","1912","Not Applicable"
"Southwest University of Visual Arts","75","1915","Not Applicable"
"Atlantic University College","76","1916","Not Applicable"
"DeVry University - Westminster","77","1918","Not Applicable"
"Pennsylvania College of Art & Design","78","1923","Not Applicable"
"Mercy College of Health Sciences","79","1924","Not Applicable"
"College of Biblical Studies - Houston","80","1925","Not Applicable"
"Bethesda University of California","81","1926","Not Applicable"
"New Charter University","82","1927","Not Applicable"
"Cox College","83","1929","Not Applicable"
"Western Governors University","84","1931","Not Applicable"
"Northcentral University","85","1932","Not Applicable"
"Columbia Southern University","86","1942","Not Applicable"
"DeVry University - Miramar","88","1946","Not Applicable"
"DeVry University - Ft. Washington","89","1947","Not Applicable"
"The King's University","90","1948","Not Applicable"
"The King's College","92","1950","Not Applicable"
"Neumont University","93","1952","Not Applicable"
"Argosy University, Chicago","95","1965","Not Applicable"
"University of Management and Technology","97","1990","Not Applicable"
"Baptist University of the Americas","98","1994","Not Applicable"
"Antioch University Santa Barbara","105","2005","Not Applicable"
"Antioch University Seattle","106","2006","Not Applicable"
"Capella University","107","2010","Not Applicable"
"Art Institute of California - Hollywood","110","2014","Not Applicable"
"New Saint Andrews College","111","2015","Not Applicable"
"SUM Bible College & Theological Seminary","112","2016","Not Applicable"
"Art Institute of Michigan","113","2017","Not Applicable"
"Gutenberg College","114","2021","Not Applicable"
"Penn State DuBois","115","2022","Not Applicable"
"Penn State Worthington Scranton","116","2023","Not Applicable"
"Harrisburg University of Science and Technology","117","2024","Not Applicable"
"Penn State New Kensington","123","2030","Not Applicable"
"Penn State Shenango","124","2031","Not Applicable"
"Penn State Fayette, The Eberly Campus","125","2032","Not Applicable"
"Penn State York","126","2033","Not Applicable"
"Kaplan University","130","2039","Not Applicable"
"Stratford University - Woodbridge","132","2043","Not Applicable"
"Art Institute of Houston","133","2045","Not Applicable"
"Luther Rice University","140","2052","Not Applicable"
"Watkins College of Art","142","2056","Not Applicable"
"Florida Career College","143","2057","Not Applicable"
"Southern California Seminary","144","2059","Not Applicable"
"Apex School of Theology","145","2060","Not Applicable"
"Midwest University","146","2061","Not Applicable"
"Everglades University - Orlando","148","2063","Not Applicable"
"Art Institute of California - Inland Empire","149","2064","Not Applicable"
"Art Institute of California - Sacramento","150","2066","Not Applicable"
"Rasmussen College - Lake Elmo/Woodbury","151","2067","Not Applicable"
"Southwest University","153","2069","Not Applicable"
"Full Sail University","154","2070","Not Applicable"
"Argosy University, Atlanta","155","2071","Not Applicable"
"Argosy University, Twin Cities","156","2072","Not Applicable"
"Argosy University, Sarasota","157","2073","Not Applicable"
"Argosy University, Phoenix","158","2074","Not Applicable"
"Argosy University, Washington DC","159","2075","Not Applicable"
"Argosy University, San Francisco Bay Area","160","2076","Not Applicable"
"Argosy University, Tampa","161","2077","Not Applicable"
"Argosy University, Seattle","162","2078","Not Applicable"
"Argosy University, Hawaii","163","2080","Not Applicable"
"Argosy University, Nashville","164","2081","Not Applicable"
"Argosy University, Dallas","165","2082","Not Applicable"
"Argosy University, Los Angeles","166","2083","Not Applicable"
"Argosy University, San Diego","167","2084","Not Applicable"
"Argosy University, Denver","168","2085","Not Applicable"
"Argosy University, Inland Empire","169","2086","Not Applicable"
"Argosy University, Salt Lake City","170","2087","Not Applicable"
"California Miramar University","171","2088","Not Applicable"
"Argosy University, Schaumburg","172","2089","Not Applicable"
"Trident University International","173","2090","Not Applicable"
"Argosy University, Orange County","174","2091","Not Applicable"
"West Coast University","175","2092","Not Applicable"
"Denver School of Nursing","176","2093","Not Applicable"
"Ex'pression College for Digital Arts","177","2094","Not Applicable"
"Chamberlain College of Nursing ","179","2096","Not Applicable"
"Chamberlain College of Nursing ","180","2097","Not Applicable"
"Chamberlain College of Nursing ","181","2098","Not Applicable"
"Chamberlain College of Nursing","182","2099","Not Applicable"
