University,CostIState,CostOState,CollegeType,Undergraduates,EntranceDifficulty,AdmitRate,Applicants,City,State,Region,Starting Median Salary
california state university sacramento,7204,19084,public,27876,moderately difficult,0.72,23944,sacramento,CA,California,47800
university of vermont,17740,41356,public,11159,moderately difficult,0.69,22476,burlington,VT,Northeastern,44800
university of alabama huntsville,10280,21480,public,6507,moderately difficult,0.76,4545,huntsville,AL,Southern,43100
university of arkansas,9062,24308,public,22548,moderately difficult,0.63,21539,fayetteville,AR,Southern,44100
seattle university,42885,42885,private,4776,moderately difficult,0.74,8149,seattle,WA,Western,48300
university of new haven,38170,38170,private,4936,moderately difficult,0.81,10720,west haven,CT,Northeastern,44400
university of nevada reno,7538,21726,public,18191,moderately difficult,0.83,9644,reno,NV,Western,46500
university of oklahoma,11538,26919,public,21609,moderately difficult,0.7,14522,norman,OK,Southern,44700
university of utah,8824,28067,public,23789,moderately difficult,0.76,14308,salt lake city,UT,Western,45400
oregon state university,10797,29457,public,25327,moderately difficult,0.77,14595,corvallis,OR,Western,45100
north carolina state university,9058,27406,public,23847,very difficult,0.46,25929,raleigh,NC,Southern,47200
widener university,44166,44166,private,3591,moderately difficult,0.7,5175,chester,PA,Northeastern,52900
wellesley college,51148,51148,private,2356,most difficult,0.3,4555,wellesley,MA,Northeastern,42800
denison university,50440,50440,private,2277,very difficult,0.44,6881,granville,OH,Midwestern,42000
randolph-macon college,40100,40100,private,1446,moderately difficult,0.61,2842,ashland,VA,Southern,42600
hamilton college,52770,52770,private,1879,very difficult,0.26,5230,clinton,NY,Northeastern,49200
ohio state university,10591,29695,public,45831,very difficult,0.54,44845,columbus,OH,Midwestern,44900
smith college,50044,50044,private,2514,very difficult,0.37,5254,northampton,MA,Northeastern,44000
university of iowa,8964,30608,public,22354,moderately difficult,0.81,24097,iowa city,IA,Midwestern,44700
indiana university bloomington,10533,34845,public,39184,moderately difficult,0.79,34646,bloomington,IN,Midwestern,46300
university of california santa cruz,13969,41983,public,16231,very difficult,0.51,44871,santa cruz,CA,California,44700
arizona state university,10792,27372,public,42477,moderately difficult,0.83,24764,tempe,AZ,Western,47400
farmingdale state college,8076,17726,public,9235,moderately difficult,0.58,6169,farmingdale,NY,Northeastern,47300
university of minnesota,14417,26603,public,34871,moderately difficult,0.44,49129,minneapolis,MN,Midwestern,46200
california state university east bay,6834,18714,public,13340,moderately difficult,0.7,15670,hayward,CA,California,49200
duquesne university,36394,36394,private,6039,moderately difficult,0.73,7655,pittsburgh,PA,Northeastern,40700
university of colorado denver,11258,31448,public,14622,moderately difficult,0.61,12252,denver,CO,Western,46100
university of delaware,13160,33150,public,18374,moderately difficult,0.65,24456,newark,DE,Southern,45900
rochester institute of technology,40068,40068,private,13384,moderately difficult,0.55,19824,rochester,NY,Northeastern,48900
iowa state university,8636,22472,public,30671,moderately difficult,0.87,19433,ames,IA,Midwestern,45400
california state university long beach,6794,18674,public,32246,moderately difficult,0.32,60732,long beach,CA,California,45100
la salle university,29500,29500,private,3652,moderately difficult,0.77,5673,philadelphia,PA,Northeastern,43400
auburn university,10968,29640,public,22658,moderately difficult,0.81,18256,auburn university,AL,Southern,45400
washington state university,10078,24504,public,17716,moderately difficult,0.73,21410,pullman,WA,Western,45300
depaul university,38410,38410,private,15961,moderately difficult,0.72,19628,chicago,IL,Midwestern,46400
siena college,36335,36335,private,3186,moderately difficult,0.73,8037,loudonville,NY,Northeastern,45500
san diego state university,7460,19340,public,29853,moderately difficult,0.35,60691,san diego,CA,California,46200
university of rhode island,13792,30042,public,14801,moderately difficult,0.71,21797,kingston,RI,Northeastern,43900
university of washington,10974,35538,public,30933,very difficult,0.45,43517,seattle,WA,Western,48800
michigan state university,14460,39405,public,39090,moderately difficult,0.66,37480,east lansing,MI,Midwestern,46300
pennsylvania state university,18436,33664,public,41359,very difficult,0.56,52974,university park,PA,Northeastern,49900
colby college,53120,53120,private,1857,most difficult,0.23,7593,waterville,ME,Northeastern,46400
gettysburg college,52640,52640,private,2384,most difficult,0.43,6816,gettysburg,PA,Northeastern,44700
syracuse university,46755,46755,private,15218,very difficult,0.52,30923,syracuse,NY,Northeastern,45700
university of georgia,11818,30392,public,27951,moderately difficult,0.54,22694,athens,GA,Southern,44100
clemson university,14712,35654,public,18599,very difficult,0.51,23506,clemson,SC,Southern,48400
university of arizona,11877,35307,public,34072,moderately difficult,0.79,36166,tucson,AZ,Western,47500
st. olaf college,46000,46000,private,3040,very difficult,0.45,6041,northfield,MN,Midwestern,45300
northeastern university,49497,49497,private,17923,very difficult,0.29,51063,boston,MA,Northeastern,50500
san francisco state university,7254,19134,public,25945,moderately difficult,0.68,36223,san francisco,CA,California,47300
university of massachusetts lowell,14800,31865,public,13639,moderately difficult,0.6,11231,lowell,MA,Northeastern,45400
california state university fullerton,6830,18710,public,34576,moderately difficult,0.48,44493,fullerton,CA,California,45700
bradley university,32930,32930,private,4473,moderately difficult,0.7,9786,peoria,IL,Midwestern,47000
ithaca college,42884,42884,private,6221,moderately difficult,0.7,14380,ithaca,NY,Northeastern,42700
louisiana state university,11374,28051,public,26118,moderately difficult,0.76,18122,baton rouge,LA,Southern,46900
university of wisconsin madison,10533,34783,public,31710,very difficult,0.53,32887,madison,WI,Midwestern,48900
university of florida,6381,28658,public,34554,very difficult,0.46,30118,gainesville,FL,Southern,47100
california state university chico,7348,19228,public,16471,moderately difficult,0.67,23124,chico,CA,California,47400
university of massachusetts amherst,15596,33662,public,23373,moderately difficult,0.6,40703,amherst,MA,Northeastern,46600
depauw university,47838,47838,private,2225,moderately difficult,0.65,4845,greencastle,IN,Midwestern,41400
marquette university,39900,39900,private,8238,moderately difficult,0.84,13136,milwaukee,WI,Midwestern,48500
brigham young university,5460,5460,private,30979,moderately difficult,0.51,12739,provo,UT,Western,49400
baylor university,43970,43970,private,14348,moderately difficult,0.4,34636,waco,TX,Southern,48300
university of tulsa,41459,41459,private,3406,very difficult,0.37,8089,tulsa,OK,Southern,42400
university of connecticut,14880,36948,public,18395,moderately difficult,0.5,31280,storrs,CT,Northeastern,48000
rider university,41310,41310,private,4128,moderately difficult,0.69,9851,lawrenceville,NJ,Northeastern,43600
seton hall university,40888,40888,private,5839,moderately difficult,0.79,10730,south orange,NJ,Northeastern,48900
pace university,43986,43986,private,6284,moderately difficult,0.87,14545,new york,NY,Northeastern,53200
pratt institute,50038,50038,private,3310,very difficult,0.52,5711,brooklyn,NY,Northeastern,43800
purdue university,9992,28794,public,30043,moderately difficult,0.56,48774,west lafayette,IN,Midwestern,51400
american university,46615,46615,private,7901,very difficult,0.26,19325,washington,DC,Southern,45300
emory university,49392,49392,private,6861,most difficult,0.25,19924,atlanta,GA,Southern,52000
rutgers university,14638,30579,public,36168,moderately difficult,0.57,36677,piscataway,NJ,Northeastern,50300
university albany,9550,24430,public,12908,very difficult,0.56,22337,albany,NY,Northeastern,44500
hofstra university,43960,43960,private,6899,moderately difficult,0.62,28617,hempstead,NY,Northeastern,46800
franklin & marshall college,54580,54580,private,2255,very difficult,0.36,6953,lancaster,PA,Northeastern,49100
stony brook university,9257,26767,public,17026,very difficult,0.41,34999,stony brook,NY,Northeastern,49500
university of michigan,14826,47476,public,28983,very difficult,0.29,55504,ann arbor,MI,Midwestern,52700
long island university,36978,36978,private,4661,moderately difficult,0.91,7289,brooklyn,NY,Northeastern,47300
st. john's university,40520,40520,private,16440,moderately difficult,0.63,28590,queens,NY,Northeastern,48000
new mexico institute of mining & technology,7183,20991,public,1569,moderately difficult,0.23,1663,socorro,NM,Western,51000
south dakota school of mines & technology,9627,13806,public,2485,moderately difficult,0.85,1368,rapid city,SD,Midwestern,55800
drexel university,52002,52002,private,15499,moderately difficult,0.75,28535,philadelphia,PA,Northeastern,53400
boston university,52082,52082,private,17944,very difficult,0.29,57441,boston,MA,Northeastern,49000
university of texas austin,10136,35766,public,40168,moderately difficult,0.4,47501,austin,TX,Southern,49700
middlebury college,52496,52496,private,2532,most difficult,0.16,8819,middlebury,VT,Northeastern,47700
mount holyoke college,47940,47940,private,2202,very difficult,0.52,3543,south hadley,MA,Northeastern,42400
vassar college,55210,55210,private,2424,very difficult,0.27,7284,poughkeepsie,NY,Northeastern,46000
university of richmond,50910,50910,private,3036,very difficult,0.32,10422,university of richmond,VA,Southern,48600
university of california santa barbara,14409,42423,public,21574,very difficult,0.36,77098,santa barbara,CA,California,50500
university of maryland,10399,33606,public,28472,moderately difficult,0.48,30272,college park,MD,Southern,52000
virginia polytechnic institute & state university,13230,30410,public,25791,moderately difficult,0.71,25000,blacksburg,VA,Southern,53500
new york university,50464,50464,private,24985,very difficult,0.35,50804,new york,NY,Northeastern,50300
san jose state university,7721,18881,public,26822,very difficult,0.55,30583,san jose,CA,California,53500
union college,53490,53490,private,2203,very difficult,0.37,6648,schenectady,NY,Northeastern,47200
union college,53490,53490,private,805,moderately difficult,0.64,1811,lincoln,NE,Midwestern,47200
union college,53490,53490,private,975,moderately difficult,0.67,1344,barbourville,KY,Southern,47200
union college,23070,23070,private,2203,very difficult,0.37,6648,schenectady,NY,Northeastern,47200
union college,23070,23070,private,805,moderately difficult,0.64,1811,lincoln,NE,Midwestern,47200
union college,23070,23070,private,975,moderately difficult,0.67,1344,barbourville,KY,Southern,47200
missouri university of science & technology,9839,27701,public,6909,very difficult,0.79,4166,rolla,MO,Midwestern,57100
tulane university,52960,52960,private,6377,very difficult,0.26,32006,new orleans,LA,Southern,49100
union college,26080,26080,private,2203,very difficult,0.37,6648,schenectady,NY,Northeastern,47200
union college,26080,26080,private,805,moderately difficult,0.64,1811,lincoln,NE,Midwestern,47200
union college,26080,26080,private,975,moderately difficult,0.67,1344,barbourville,KY,Southern,47200
binghamton university,9523,24403,public,13632,very difficult,0.41,32139,binghamton,NY,Northeastern,53600
northwestern university,52678,52678,private,8353,most difficult,0.11,35100,evanston,IL,Midwestern,52700
