University,CostIState,CostOState,CollegeType,Undergraduates,EntranceDifficulty,AdmitRate,Applicants,City,State,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
argosy university salt lake city,NA,NA,private for profit,NA,NA,NA,NA,draper,UT,Western,NA,NA,NA,NA,NA,NA
california miramar university,12180,12180,private,NA,NA,NA,NA,san diego,CA,California,NA,NA,NA,NA,NA,NA
argosy university schaumburg,NA,NA,private for profit,NA,NA,NA,NA,schaumburg,IL,Midwestern,NA,NA,NA,NA,NA,NA
argosy university orange county,NA,NA,private for profit,NA,NA,NA,NA,orange,CA,California,NA,NA,NA,NA,NA,NA
west coast university,NA,NA,private for profit,1792,NA,0.83,24,north hollywood,CA,California,NA,NA,NA,NA,NA,NA
denver school of nursing,NA,NA,private for profit,NA,NA,NA,NA,denver,CO,Western,NA,NA,NA,NA,NA,NA
ex'pression college for digital arts,NA,NA,private for profit,NA,NA,NA,NA,emeryville,CA,California,NA,NA,NA,NA,NA,NA
devry university chicago,17512,17512,private for profit,784,minimally difficult,NA,NA,chicago,IL,Midwestern,NA,NA,NA,NA,NA,NA
devry university columbus,17512,17512,private for profit,961,minimally difficult,NA,NA,columbus,OH,Midwestern,NA,NA,NA,NA,NA,NA
benedict college,19958,19958,private,2641,minimally difficult,NA,NA,columbia,SC,Southern,NA,NA,NA,NA,NA,NA
schiller international university,NA,NA,private for profit,191,minimally difficult,NA,NA,largo,FL,Southern,NA,NA,NA,NA,NA,NA
hodges university,17300,17300,private,1487,minimally difficult,NA,NA,naples,FL,Southern,NA,NA,NA,NA,NA,NA
devry university new york,17512,17512,private for profit,915,minimally difficult,NA,NA,new york,NY,Northeastern,NA,NA,NA,NA,NA,NA
devry university north brunswick,17512,17512,private for profit,583,minimally difficult,NA,NA,north brunswick,NJ,Northeastern,NA,NA,NA,NA,NA,NA
devry university orlando,17512,17512,private for profit,534,minimally difficult,NA,NA,orlando,FL,Southern,NA,NA,NA,NA,NA,NA
devry university crystal city,17512,17512,private for profit,252,minimally difficult,NA,NA,arlington,VA,Southern,NA,NA,NA,NA,NA,NA
