University,CostIState,CostOState,CollegeType,Undergraduates,EntranceDifficulty,AdmitRate,Applicants,City,State,Region,Starting Median Salary
western illinois university,11267,15538,public,8543,moderately difficult,0.59,10191,macomb,IL,Midwestern,NA
university of michigan flint,11334,21654,public,6585,moderately difficult,0.65,4033,flint,MI,Midwestern,NA
lincoln university,11379,16389,public,2618,noncompetitive,0.52,5077,jefferson city,MO,Midwestern,NA
southern illinois university edwardsville,11491,25118,public,11720,moderately difficult,0.89,7274,edwardsville,IL,Midwestern,NA
lake superior state university,11600,11600,public,2432,moderately difficult,0.9,1465,sault sainte marie,MI,Midwestern,NA
university of illinois springfield,11613,21138,public,2959,moderately difficult,0.65,1467,springfield,IL,Midwestern,NA
eastern illinois university,11678,13868,public,5957,moderately difficult,0.47,8420,charleston,IL,Midwestern,NA
calvary bible college & theological seminary,11886,11886,private,231,noncompetitive,0.98,44,kansas city,MO,Midwestern,NA
grand valley state university,11994,17064,public,22209,moderately difficult,0.82,17104,allendale,MI,Midwestern,NA
chicago state university,12086,20786,public,3912,minimally difficult,0.3,5517,chicago,IL,Midwestern,NA
ferris state university,12180,18270,public,12866,minimally difficult,0.78,10883,big rapids,MI,Midwestern,NA
university of minnesota crookston,12202,12202,public,2823,minimally difficult,0.78,1073,crookston,MN,Midwestern,NA
oakland university,12420,23873,public,16793,moderately difficult,0.8,10162,rochester,MI,Midwestern,NA
university of michigan dearborn,12472,24706,public,7141,moderately difficult,0.65,5328,dearborn,MI,Midwestern,NA
central michigan university,12510,23670,public,19923,moderately difficult,0.72,18875,mount pleasant,MI,Midwestern,NA
moody bible institute,12960,12960,private,2928,moderately difficult,0.89,816,chicago,IL,Midwestern,NA
lincoln christian university,13020,13020,private,528,moderately difficult,0.56,234,lincoln,IL,Midwestern,NA
university of minnesota morris,13072,15092,public,1771,moderately difficult,0.58,3414,morris,MN,Midwestern,NA
mount carmel college of nursing,13107,13107,private,926,moderately difficult,0.61,254,columbus,OH,Midwestern,NA
wilberforce university,13250,13250,private,307,minimally difficult,0.38,1284,wilberforce,OH,Midwestern,NA
university of minnesota duluth,13344,18462,public,9967,moderately difficult,0.77,7973,duluth,MN,Midwestern,NA
northeastern illinois university,13420,24739,public,7665,minimally difficult,0.71,6203,chicago,IL,Midwestern,NA
baptist bible college,13850,13850,private,544,noncompetitive,0.76,264,springfield,MO,Midwestern,NA
nazarene bible college,14620,14620,private,769,noncompetitive,0.14,129,lenexa,KS,Midwestern,NA
martin luther college,14680,14680,private,859,moderately difficult,0.83,293,new ulm,MN,Midwestern,NA
maranatha baptist bible college,14910,14910,private,953,noncompetitive,0.68,398,watertown,WI,Midwestern,NA
miami university,14958,34210,public,16981,moderately difficult,0.65,29771,oxford,OH,Midwestern,NA
michigan technological university,15074,32318,public,5829,moderately difficult,0.76,5589,houghton,MI,Midwestern,NA
manhattan christian college,15418,15418,private,327,minimally difficult,0.6,162,manhattan,KS,Midwestern,NA
clarkson college,16305,16305,private,658,moderately difficult,0.55,87,omaha,NE,Midwestern,NA
martin university,16410,16410,private,1074,noncompetitive,0.96,243,indianapolis,IN,Midwestern,NA
bethel university,16552,16552,private,2965,moderately difficult,0.82,1798,st paul,MN,Midwestern,NA
lindenwood university,16960,16960,private,7549,moderately difficult,0.55,4039,st charles,MO,Midwestern,NA
cincinnati christian university,17240,17240,private,620,minimally difficult,0.59,241,cincinnati,OH,Midwestern,NA
oak hills christian college,17314,17314,private,140,minimally difficult,0.56,70,bemidji,MN,Midwestern,NA
emmaus bible college,17520,17520,private,265,noncompetitive,0.36,432,dubuque,IA,Midwestern,NA
nebraska methodist college,17720,17720,private,865,moderately difficult,0.35,240,omaha,NE,Midwestern,NA
university of mary,17980,17980,private,2049,minimally difficult,0.96,900,bismarck,ND,Midwestern,NA
national louis university,18000,18000,private,1463,minimally difficult,0.8,401,chicago,IL,Midwestern,NA
barclay college,18320,18320,private,250,minimally difficult,0.71,89,haviland,KS,Midwestern,NA
calumet college of st. joseph,18620,18620,private,784,noncompetitive,0.3,628,whiting,IN,Midwestern,NA
sacred heart major seminary,18706,18706,private,264,moderately difficult,1,4,detroit,MI,Midwestern,NA
york college,18760,18760,private,430,moderately difficult,0.6,485,york,NE,Midwestern,NA
college of the ozarks,19200,19200,private,1512,moderately difficult,0.14,2896,point lookout,MO,Midwestern,NA
presentation college,19450,19450,private,748,noncompetitive,0.74,340,aberdeen,SD,Midwestern,NA
cleary university,19500,19500,private,618,moderately difficult,0.48,81,howell,MI,Midwestern,NA
columbia college,19500,19500,private,936,minimally difficult,0.51,1580,columbia,MO,Midwestern,NA
grace bible college,19650,19650,private,207,minimally difficult,0.34,158,grand rapids,MI,Midwestern,NA
college of saint mary,19950,19950,private,760,minimally difficult,0.53,333,omaha,NE,Midwestern,NA
missouri valley college,20200,20200,private,1785,minimally difficult,0.46,3265,marshall,MO,Midwestern,NA
madonna university,20700,20700,private,2629,moderately difficult,0.6,972,livonia,MI,Midwestern,NA
ashland university,20700,20700,private,4536,moderately difficult,0.67,3443,ashland,OH,Midwestern,NA
east-west university,20970,20970,private,755,minimally difficult,0.89,1008,chicago,IL,Midwestern,NA
kuyper college,21090,21090,private,208,moderately difficult,0.73,154,grand rapids,MI,Midwestern,NA
jamestown college,21158,21158,private,955,minimally difficult,0.57,1560,jamestown,ND,Midwestern,NA
lourdes university,21540,21540,private,1125,moderately difficult,0.89,919,sylvania,OH,Midwestern,NA
waldorf college,21674,21674,private,2058,moderately difficult,0.67,748,forest city,IA,Midwestern,NA
concordia university st. paul,21750,21750,private,2659,minimally difficult,0.56,1704,st paul,MN,Midwestern,NA
columbia college,21936,21936,private,936,minimally difficult,0.51,1580,columbia,MO,Midwestern,NA
blackburn college,21992,21992,private,596,moderately difficult,0.52,1001,carlinville,IL,Midwestern,NA
st. john's college,22005,22005,private,122,moderately difficult,0.68,90,springfield,IL,Midwestern,NA
urbana university,22452,22452,private,1461,moderately difficult,0.65,495,urbana,OH,Midwestern,NA
evangel university,22745,22745,private,1464,moderately difficult,0.75,1123,springfield,MO,Midwestern,NA
marygrove college,22750,22750,private,780,moderately difficult,0.42,548,detroit,MI,Midwestern,NA
pontifical college josephinum,22750,22750,private,78,minimally difficult,0.75,8,columbus,OH,Midwestern,NA
finlandia university,22758,22758,private,545,minimally difficult,0.67,646,hancock,MI,Midwestern,NA
aquinas college,22850,22850,private,1654,moderately difficult,0.91,1706,grand rapids,MI,Midwestern,NA
grace university,23030,23030,private,366,moderately difficult,0.64,228,omaha,NE,Midwestern,NA
william woods university,23260,23260,private,971,moderately difficult,0.7,895,fulton,MO,Midwestern,NA
southwest baptist university,23290,23290,private,2881,moderately difficult,0.62,1604,bolivar,MO,Midwestern,NA
rochester college,23520,23520,private,970,minimally difficult,0.8,210,rochester hills,MI,Midwestern,NA
aurora university,23520,23520,private,3796,moderately difficult,0.88,2615,aurora,IL,Midwestern,NA
oakland city university,23700,23700,private,1270,minimally difficult,0.33,628,oakland city,IN,Midwestern,NA
central methodist university,23770,23770,private,1094,moderately difficult,0.61,1365,fayette,MO,Midwestern,NA
tiffin university,23850,23850,private,2353,moderately difficult,0.6,3653,tiffin,OH,Midwestern,NA
grace college,23930,23930,private,1934,moderately difficult,0.78,4204,winona lake,IN,Midwestern,NA
rush university,24630,24630,private,166,moderately difficult,0.37,398,chicago,IL,Midwestern,NA
blessing-reiman college of nursing,24750,24750,private,233,moderately difficult,0.66,546,quincy,IL,Midwestern,NA
sterling college,24985,24985,private,650,minimally difficult,0.37,1033,sterling,KS,Midwestern,NA
william penn university,25000,25000,private,1449,moderately difficult,0.59,1096,oskaloosa,IA,Midwestern,NA
kendall college,25278,25278,private for profit,1200,minimally difficult,0.84,154,chicago,IL,Midwestern,NA
eureka college,25390,25390,private,672,minimally difficult,0.65,1046,eureka,IL,Midwestern,NA
crown college,25430,25430,private,1088,minimally difficult,0.56,838,st bonifacius,MN,Midwestern,NA
fontbonne university,25460,25460,private,1099,moderately difficult,0.97,494,st louis,MO,Midwestern,NA
huntington university,25540,25540,private,996,moderately difficult,0.9,789,huntington,IN,Midwestern,NA
central christian college of kansas,25760,25760,private,466,minimally difficult,0.99,402,mcpherson,KS,Midwestern,NA
siena heights university,25932,25932,private,2402,moderately difficult,0.74,1545,adrian,MI,Midwestern,NA
westminster college,25940,25940,private,940,moderately difficult,0.64,1789,fulton,MO,Midwestern,NA
missouri baptist university,26020,26020,private,4631,moderately difficult,0.51,1005,st louis,MO,Midwestern,NA
culver-stockton college,26040,26040,private,1058,moderately difficult,0.58,3305,canton,MO,Midwestern,NA
northwood university,26080,26080,private,1442,moderately difficult,0.72,2265,midland,MI,Midwestern,NA
university of rio grande,26130,26130,private,2106,noncompetitive,0.73,1754,rio grande,OH,Midwestern,NA
mount marty college,26310,26310,private,1006,minimally difficult,0.65,473,yankton,SD,Midwestern,NA
greenville college,26356,26356,private,994,moderately difficult,0.58,1093,greenville,IL,Midwestern,NA
indiana institute of technology,26370,26370,private,5738,moderately difficult,0.72,2324,fort wayne,IN,Midwestern,NA
columbia college chicago,26370,26370,private,7809,moderately difficult,0.88,8325,chicago,IL,Midwestern,NA
franciscan university of steubenville,26430,26430,private,2090,moderately difficult,0.79,1760,steubenville,OH,Midwestern,NA
grand view university,26516,26516,private,1910,minimally difficult,0.97,886,des moines,IA,Midwestern,NA
olivet college,26695,26695,private,1045,minimally difficult,0.53,2654,olivet,MI,Midwestern,NA
hillsdale college,26742,26742,private,1486,very difficult,0.45,1934,hillsdale,MI,Midwestern,NA
bethany lutheran college,26830,26830,private,587,moderately difficult,0.8,328,mankato,MN,Midwestern,NA
viterbo university,26920,26920,private,1875,moderately difficult,0.63,1770,la crosse,WI,Midwestern,NA
anderson university,26920,26920,private,1883,moderately difficult,0.66,2650,anderson,IN,Midwestern,NA
dakota wesleyan university,27000,27000,private,759,moderately difficult,0.73,659,mitchell,SD,Midwestern,NA
drury university,27005,27005,private,1370,moderately difficult,0.7,1563,springfield,MO,Midwestern,NA
tabor college,27220,27220,private,670,moderately difficult,0.56,631,hillsboro,KS,Midwestern,NA
webster university,27225,27225,private,2621,moderately difficult,0.47,2630,st louis,MO,Midwestern,NA
silver lake college of the holy family,27360,27360,private,357,minimally difficult,0.55,481,manitowoc,WI,Midwestern,NA
marian university,27400,27400,private,2147,moderately difficult,0.59,2191,indianapolis,IN,Midwestern,NA
marian university,27400,27400,private,1487,moderately difficult,0.77,1245,fond du lac,WI,Midwestern,NA
bethany college,27472,27472,private,665,moderately difficult,0.59,1139,lindsborg,KS,Midwestern,NA
cornerstone university,27520,27520,private,1856,minimally difficult,0.63,2892,grand rapids,MI,Midwestern,NA
maharishi university of management,27530,27530,private,337,moderately difficult,0.89,83,fairfield,IA,Midwestern,NA
