"University","CostIState","CostOState","CollegeType","Undergraduates","EntranceDifficulty","AdmitRate","Applicants","City","State"
"barnard college",52662,52662,"private",2548,"most difficult",0.2,6655,"new york","NY"
"state university of new york upstate medical university",7344,17194,"public",296,"moderately difficult",0.34,477,"syracuse","NY"
"maine maritime academy",13278,26628,"public",1037,"moderately difficult",0.79,805,"castine","ME"
"university of maine",10902,30282,"public",9323,"moderately difficult",0.9,12952,"orono","ME"
"roger williams university",33336,33336,"private",4902,"moderately difficult",0.79,9829,"bristol","RI"
"susquehanna university",45470,45470,"private",2195,"moderately difficult",0.68,6629,"selinsgrove","PA"
"bates college",52042,52042,"private",1780,"very difficult",0.23,5356,"lewiston","ME"
"arcadia university",42330,42330,"private",2473,"moderately difficult",0.63,8987,"glenside","PA"
"swarthmore college",50822,50822,"private",1620,"",NA,NA,"swarthmore","PA"
"bennington college",52420,52420,"private",711,"very difficult",0.6,1236,"bennington","VT"
"university of maine farmington",9458,19026,"public",1782,"",NA,NA,"farmington","ME"
"syracuse university",46755,46755,"private",15218,"very difficult",0.52,30923,"syracuse","NY"
"university of maine fort kent",7965,12075,"public",1904,"minimally difficult",0.96,411,"fort kent","ME"
"bentley university",48000,48000,"private",4222,"very difficult",0.46,8281,"waltham","MA"
"thomas college",26110,26110,"private",1212,"",NA,NA,"waterville","ME"
"berklee college of music",42750,42750,"private",5112,"moderately difficult",0.26,7682,"boston","MA"
"bloomfield college",29300,29300,"private",1947,"moderately difficult",0.62,3623,"bloomfield","NJ"
"bloomsburg university of pennsylvania",10500,21738,"public",8995,"minimally difficult",0.78,9330,"bloomsburg","PA"
"temple university",16658,28418,"public",29275,"moderately difficult",0.52,33139,"philadelphia","PA"
"bowdoin college",51848,51848,"private",1806,"most difficult",0.15,6799,"brunswick","ME"
"university of maine machias",7676,19316,"public",786,"moderately difficult",0.87,449,"machias","ME"
"boricua college",11025,11025,"private",1004,"moderately difficult",0.4,924,"new york","NY"
"university of maine presque isle",7760,11870,"public",1326,"minimally difficult",0.87,1491,"presque isle","ME"
"thiel college",30830,30830,"private",926,"moderately difficult",0.61,2275,"greenville","PA"
"boston architectural college",21174,21174,"private",472,"noncompetitive",0.16,152,"boston","MA"
"boston college",53346,53346,"private",9309,"very difficult",0.31,28956,"chestnut hill","MA"
"thomas jefferson university",NA,NA,"private",1131,"moderately difficult",NA,NA,"philadelphia","PA"
"boston university",52082,52082,"private",17944,"very difficult",0.29,57441,"boston","MA"
"touro college",19870,19870,"private",6912,"moderately difficult",0.34,2201,"new york","NY"
"the college of new jersey",16149,27578,"public",6787,"very difficult",0.49,11825,"ewing","NJ"
"manhattan college",42087,42087,"private",3637,"moderately difficult",0.67,8313,"riverdale","NY"
"rosemont college",19480,19480,"private",646,"moderately difficult",0.69,1404,"rosemont","PA"
"trinity college",54770,54770,"private",2289,"most difficult",0.33,7569,"hartford","CT"
"manhattan school of music",45975,45975,"private",389,"very difficult",0.45,897,"new york","NY"
"manhattanville college",37910,37910,"private",1794,"moderately difficult",0.77,4132,"purchase","NY"
"tufts university",54318,54318,"private",5508,"most difficult",0.14,20223,"medford","MA"
"university of bridgeport",32250,32250,"private",2941,"moderately difficult",0.58,6969,"bridgeport","CT"
"union college",53490,53490,"private",2203,"very difficult",0.37,6648,"schenectady","NY"
"union college",53490,53490,"private",805,"moderately difficult",0.64,1811,"lincoln","NE"
"union college",53490,53490,"private",975,"moderately difficult",0.67,1344,"barbourville","KY"
"bridgewater state university",10012,16152,"public",9562,"moderately difficult",0.81,6007,"bridgewater","MA"
"united states coast guard academy",NA,NA,"public",986,"very difficult",0.15,2026,"new london","CT"
"mansfield university of pennsylvania",12316,21766,"public",2112,"moderately difficult",0.66,2997,"mansfield","PA"
"brown university",53419,53419,"private",6926,"most difficult",0.09,32390,"providence","RI"
"united states merchant marine academy",NA,NA,"public",904,"very difficult",0.15,1872,"kings point","NY"
"united states military academy",NA,NA,"public",4389,"",NA,NA,"west point","NY"
"marist college",36780,36780,"private",5616,"very difficult",0.41,11087,"poughkeepsie","NY"
"unity college",28350,28350,"private",709,"moderately difficult",0.91,1011,"unity","ME"
"marlboro college",40425,40425,"private",196,"moderately difficult",0.96,161,"marlboro","VT"
"ursinus college",50360,50360,"private",1556,"moderately difficult",0.82,2491,"collegeville","PA"
"utica college",20676,20676,"private",3550,"moderately difficult",0.82,5419,"utica","NY"
"marymount manhattan college",31950,31950,"private",2069,"moderately difficult",0.78,5265,"new york","NY"
