"University","CostIState","CostOState","CollegeType","Undergraduates","EntranceDifficulty","AdmitRate","Applicants","City","State"
"grinnell college",50714,50714,"private",1699,"very difficult",0.2,7370,"grinnell","IA"
"greenville college",26356,26356,"private",994,"moderately difficult",0.58,1093,"greenville","IL"
"indiana university northwest",7207,19038,"public",5244,"minimally difficult",0.76,1723,"gary","IN"
"illinois college",32140,32140,"private",958,"moderately difficult",0.54,4462,"jacksonville","IL"
"indiana university southeast",7207,19038,"public",5486,"minimally difficult",0.84,2177,"new albany","IN"
"hamline university",40822,40822,"private",2184,"moderately difficult",0.7,4252,"st paul","MN"
"lincoln university",7632,14172,"public",2618,"noncompetitive",0.52,5077,"jefferson city","MO"
"lincoln university",7632,14172,"public",1824,"minimally difficult",0.87,3685,"lincoln university","PA"
"lincoln university",7632,14172,"private",252,"minimally difficult",0.81,276,"oakland","CA"
"illinois institute of technology",45534,45534,"private",2991,"moderately difficult",0.53,4403,"chicago","IL"
"edgewood college",28500,28500,"private",1661,"moderately difficult",0.78,1035,"madison","WI"
"indiana university purdue university indianapolis",9334,29806,"public",21748,"moderately difficult",0.74,13301,"indianapolis","IN"
"harris-stowe state university",5220,9853,"public",1464,"noncompetitive",NA,NA,"st louis","MO"
"ohio dominican university",31080,31080,"private",1796,"moderately difficult",0.52,1969,"columbus","OH"
"loras college",32886,32886,"private",1463,"moderately difficult",0.92,1269,"dubuque","IA"
"juilliard school",43420,43420,"private",580,"most difficult",0.07,2533,"new york","NY"
"nichols college",34000,34000,"private",1272,"",NA,NA,"dudley","MA"
"kean university",12107,19009,"public",11812,"moderately difficult",0.74,8785,"union","NJ"
"ithaca college",42884,42884,"private",6221,"moderately difficult",0.7,14380,"ithaca","NY"
"eugene lang college the new school for liberal arts",45928,45928,"private",1663,"",NA,NA,"new york","NY"
"lyndon state college",11730,23898,"public",1323,"moderately difficult",0.93,1021,"lyndonville","VT"
"keene state college",13868,22614,"public",4165,"moderately difficult",0.83,5466,"keene","NH"
"graceland university",28110,28110,"private",1446,"moderately difficult",0.48,2440,"lamoni","IA"
"keuka college",30946,30946,"private",1730,"moderately difficult",0.94,1996,"keuka park","NY"
"ferris state university",12180,18270,"public",12866,"minimally difficult",0.78,10883,"big rapids","MI"
"evangel university",22745,22745,"private",1464,"moderately difficult",0.75,1123,"springfield","MO"
"elizabeth city state university",4985,18129,"public",1310,"moderately difficult",0.54,1550,"elizabeth city","NC"
"haverford college",52754,52754,"private",1268,"most difficult",0.21,4066,"haverford","PA"
"johnson state college",11730,24690,"public",1458,"moderately difficult",0.86,1291,"johnson","VT"
"howard university",25997,25997,"private",6883,"moderately difficult",0.49,15163,"washington","DC"
"western new mexico university",6824,15231,"public",2219,"noncompetitive",1,788,"silver city","NM"
"duke university",53500,53500,"private",6639,"most difficult",0.12,30112,"durham","NC"
"fort valley state university",6664,19740,"public",2229,"moderately difficult",0.24,2228,"fort valley","GA"
"east carolina university",6972,23249,"public",22969,"moderately difficult",0.7,17135,"greenville","NC"
"eastern mennonite university",35800,35800,"private",1259,"moderately difficult",0.61,1215,"harrisonburg","VA"
"hampton university",25442,25442,"private",3836,"moderately difficult",0.65,11165,"hampton","VA"
"faulkner university",20970,20970,"private",2583,"minimally difficult",0.45,2446,"montgomery","AL"
"grambling state university",7443,16466,"public",3883,"noncompetitive",0.45,6340,"grambling","LA"
"florida memorial university",15536,15536,"private",1669,"noncompetitive",0.39,5286,"miami dade","FL"
"goldey-beacom college",23850,23850,"private",625,"",NA,NA,"wilmington","DE"
"harding university",19190,19190,"private",4419,"moderately difficult",0.7,2217,"searcy","AR"
"fayetteville state university",5183,16791,"public",5543,"minimally difficult",0.57,4594,"fayetteville","NC"
"florida agricultural & mechanical university",5827,17768,"public",7769,"moderately difficult",0.31,6988,"tallahassee","FL"
"george mason university",11924,34370,"public",23062,"",NA,NA,"fairfax","VA"
"emory university",49392,49392,"private",6861,"most difficult",0.25,19924,"atlanta","GA"
"florida southern college",34774,34774,"private",2386,"moderately difficult",0.46,6192,"lakeland","FL"
"guilford college",34215,34215,"private",1809,"moderately difficult",0.77,2620,"greensboro","NC"
"new york institute of technology",35870,35870,"private",3609,"moderately difficult",0.73,10135,"old westbury","NY"
"freed-hardeman university",21950,21950,"private",1402,"moderately difficult",0.96,791,"henderson","TN"
"gallaudet university",16558,16558,"private",1121,"moderately difficult",0.66,511,"washington","DC"
"university of new mexico",7146,22037,"public",20522,"moderately difficult",0.5,13517,"albuquerque","NM"
"louisiana state university",11374,28051,"public",26118,"moderately difficult",0.76,18122,"baton rouge","LA"
"university of miami",48484,48484,"private",10849,"very difficult",0.38,32525,"coral gables","FL"
"jackson state university",7621,18314,"public",7492,"minimally difficult",0.69,8516,"jackson","MS"
"kentucky state university",8184,19638,"public",1568,"",NA,NA,"frankfort","KY"
"lane college",10690,10690,"private",1427,"minimally difficult",0.5,5311,"jackson","TN"
"university of maryland baltimore county",11518,25654,"public",11142,"moderately difficult",0.57,10812,"baltimore","MD"
"livingstone college",18154,18154,"private",1175,"minimally difficult",0.72,3110,"salisbury","NC"
"morris college",13458,13458,"private",754,"noncompetitive",0.78,2551,"sumter","SC"
"maryland institute college of art",46990,46990,"private",1679,"very difficult",0.57,3475,"baltimore","MD"
"milligan college",32500,32500,"private",892,"moderately difficult",0.65,603,"milligan college","TN"
"mississippi valley state university",6422,6422,"public",2011,"minimally difficult",0.84,2605,"itta bena","MS"
"millsaps college",38930,38930,"private",809,"moderately difficult",0.59,4269,"jackson","MS"
"mount st. mary's university",40550,40550,"private",1729,"moderately difficult",0.62,6086,"emmitsburg","MD"
"mount st. mary's university",40550,40550,"private",2831,"",NA,NA,"los angeles","CA"
"maryville college",34196,34196,"private",1213,"moderately difficult",0.67,1701,"maryville","TN"
"rowan university",13422,21890,"public",14363,"moderately difficult",0.58,13382,"glassboro","NJ"
"mississippi college",17392,17392,"private",3004,"moderately difficult",0.82,1958,"clinton","MS"
"university of montevallo",12400,25030,"public",2409,"moderately difficult",0.65,2334,"montevallo","AL"
"oral roberts university",26792,26792,"private",3288,"moderately difficult",0.21,2635,"tulsa","OK"
"goddard college",16260,16260,"private",194,"minimally difficult",0.56,16,"plainfield","VT"
"university of nebraska kearney",7326,14106,"public",5056,"moderately difficult",0.85,2815,"kearney","NE"
"california institute of the arts",47446,47446,"private",949,"very difficult",0.25,2145,"valencia","CA"
"brigham young university",5460,5460,"private",30979,"moderately difficult",0.51,12739,"provo","UT"
"mercer university",36000,36000,"private",3046,"moderately difficult",0.69,4836,"macon","GA"
"california state university stanislaus",7038,18918,"public",8099,"moderately difficult",0.74,7618,"turlock","CA"
"baylor university",43970,43970,"private",14348,"moderately difficult",0.4,34636,"waco","TX"
"southern university new orleans",6743,15644,"public",2590,"noncompetitive",0.79,801,"new orleans","LA"
"california state university san bernardino",6871,18751,"public",18453,"moderately difficult",0.58,15740,"san bernardino","CA"
"spalding university",24000,24000,"private",1316,"moderately difficult",0.51,990,"louisville","KY"
"california state polytechnic university pomona",7297,19177,"public",23733,"moderately difficult",0.59,32920,"pomona","CA"
"norfolk state university",9036,21238,"public",5356,"moderately difficult",0.67,2817,"norfolk","VA"
"california state university los angeles",6632,18512,"public",20668,"moderately difficult",0.61,31011,"los angeles","CA"
"felician college",33750,33750,"private",1648,"moderately difficult",0.79,2173,"lodi","NJ"
"boise state university",7326,22642,"public",20209,"moderately difficult",0.82,8330,"boise","ID"
"california state university chico",7348,19228,"public",16471,"moderately difficult",0.67,23124,"chico","CA"
"benedictine college",28480,28480,"private",2133,"minimally difficult",0.98,2182,"atchison","KS"
"nicholls state university",7916,9009,"public",5695,"noncompetitive",0.88,2424,"thibodaux","LA"
"university of louisiana lafayette",10592,24320,"public",15870,"moderately difficult",0.55,10899,"lafayette","LA"
"southern university & agricultural & mechanical college",8666,16016,"public",6459,"moderately difficult",0.57,2943,"baton rouge","LA"
"meredith college",35916,35916,"private",1685,"moderately difficult",0.61,1923,"raleigh","NC"
"fairleigh dickinson university metropolitan campus",39446,39446,"private",5357,"moderately difficult",0.77,4095,"teaneck","NJ"
"university of california berkeley",13928,41942,"public",27496,"",0.15,78924,"berkeley","CA"
"university of california san diego",14028,42042,"public",28127,"very difficult",0.36,84209,"la jolla","CA"
"north carolina central university",6282,18989,"public",6285,"minimally difficult",0.67,8614,"durham","NC"
"university of california los angeles",13749,41763,"public",30873,"very difficult",0.18,97121,"los angeles","CA"
"new mexico state university",7122,22701,"public",12027,"moderately difficult",0.6,7618,"las cruces","NM"
"curry college",38596,38596,"private",2688,"moderately difficult",0.89,6143,"milton","MA"
"arizona state university",10792,27372,"public",42477,"moderately difficult",0.83,24764,"tempe","AZ"
"lubbock christian university",21794,21794,"private",1471,"moderately difficult",1,815,"lubbock","TX"
"dallas baptist university",27480,27480,"private",3223,"moderately difficult",0.43,3259,"dallas","TX"
"idaho state university",7166,21942,"public",11087,"minimally difficult",1,2950,"pocatello","ID"
"university of hawaii",11732,33764,"public",13132,"moderately difficult",0.8,7861,"honolulu","HI"
"hastings college",29200,29200,"private",1183,"moderately difficult",0.71,1688,"hastings","NE"
"university of houston clear lake",8188,23668,"public",5570,"minimally difficult",0.95,1056,"houston","TX"
"huston-tillotson university",14346,14346,"private",965,"moderately difficult",0.36,2423,"austin","TX"
"university of hawaii hilo",7662,20622,"public",3362,"moderately difficult",0.71,1679,"hilo","HI"
"howard payne university",27690,27690,"private",1098,"moderately difficult",0.88,953,"brownwood","TX"
"lamar university",10111,22561,"public",9326,"minimally difficult",0.76,5613,"beaumont","TX"
"john f. kennedy university",17721,17721,"private",287,"noncompetitive",NA,NA,"pleasant hill","CA"
"colorado mesa university",8972,21782,"public",9595,"minimally difficult",0.83,7152,"grand junction","CO"
"midamerica nazarene university",29670,29670,"private",1309,"minimally difficult",0.52,1077,"olathe","KS"
"university of nebraska",8901,24201,"public",20182,"moderately difficult",0.76,9724,"lincoln","NE"
"langston university",5950,13299,"public",2160,"moderately difficult",0.61,9244,"langston","OK"
"hope international university",31800,31800,"private",853,"moderately difficult",0.32,1006,"fullerton","CA"
"northern arizona university",11059,24841,"public",26506,"moderately difficult",0.78,36511,"flagstaff","AZ"
"mills college",46236,46236,"private",819,"moderately difficult",0.84,1052,"oakland","CA"
"minot state university",6810,6810,"public",3136,"moderately difficult",0.6,846,"minot","ND"
"mount st. mary's university",39608,39608,"private",1729,"moderately difficult",0.62,6086,"emmitsburg","MD"
"mount st. mary's university",39608,39608,"private",2831,"",NA,NA,"los angeles","CA"
"nebraska wesleyan university",32774,32774,"private",1816,"moderately difficult",0.74,1803,"lincoln","NE"
"national university",16350,16350,"private",8314,"noncompetitive",NA,NA,"la jolla","CA"
"northern state university",8280,11209,"public",3075,"minimally difficult",0.89,959,"aberdeen","SD"
"pepperdine university",51992,51992,"private",3542,"very difficult",0.37,11111,"malibu","CA"
"university of northern colorado",9545,21131,"public",9503,"moderately difficult",0.9,6784,"greeley","CO"
"montana state university northern",5861,18061,"public",1208,"moderately difficult",0.64,378,"havre","MT"
"peru state college",7226,7256,"public",2094,"noncompetitive",0.49,869,"peru","NE"
"university of redlands",48072,48072,"private",3493,"moderately difficult",0.68,4790,"redlands","CA"
"northwest nazarene university",29000,29000,"private",1517,"moderately difficult",0.55,1589,"nampa","ID"
"pacific union college",29469,29469,"private",1550,"moderately difficult",0.45,2041,"angwin","CA"
"pitzer college",52236,52236,"private",1089,"very difficult",0.14,4142,"claremont","CA"
"occidental college",52838,52838,"private",2062,"very difficult",0.46,6409,"los angeles","CA"
"san francisco art institute",44778,44778,"private",338,"moderately difficult",0.38,492,"san francisco","CA"
"st. john's college",52320,52320,"private",122,"moderately difficult",0.68,90,"springfield","IL"
"st. john's college",52320,52320,"private",326,"moderately difficult",0.63,298,"santa fe","NM"
"st. john's college",52320,52320,"private",434,"moderately difficult",0.53,612,"annapolis","MD"
"seattle pacific university",40893,40893,"private",3095,"moderately difficult",0.87,4034,"seattle","WA"
"samuel merritt university",45491,45491,"private",738,"",NA,NA,"oakland","CA"
"university of san francisco",46250,46250,"private",6745,"moderately difficult",0.71,15441,"san francisco","CA"
"tarleton state university",8903,20886,"public",11463,"moderately difficult",0.74,6433,"stephenville","TX"
"university of south dakota",8772,12020,"public",7500,"moderately difficult",0.88,3607,"vermillion","SD"
"vanguard university of southern california",32430,32430,"private",1881,"moderately difficult",0.58,1352,"costa mesa","CA"
"university of southern california",54323,54323,"private",18794,"most difficult",0.17,54280,"los angeles","CA"
"texas southern university",9173,21623,"public",6915,"noncompetitive",0.51,10239,"houston","TX"
"woodbury university",38460,38460,"private",1135,"moderately difficult",0.66,1487,"burbank","CA"
"texas woman's university",9366,21816,"public",10408,"minimally difficult",0.86,5414,"denton","TX"
"whittier college",46310,46310,"private",1615,"moderately difficult",0.69,5146,"whittier","CA"
"southwestern college",28750,28750,"private",1226,"minimally difficult",0.92,395,"winfield","KS"
"colorado state university pueblo",10090,25548,"public",5006,"moderately difficult",0.96,6178,"pueblo","CO"
"utah state university",7174,20726,"public",24838,"moderately difficult",0.9,15401,"logan","UT"
"westminster college",33040,33040,"private",1168,"moderately difficult",0.91,2125,"new wilmington","PA"
"westminster college",33040,33040,"private",2127,"moderately difficult",0.94,1938,"salt lake city","UT"
"westminster college",33040,33040,"private",940,"moderately difficult",0.64,1789,"fulton","MO"
"southern methodist university",52498,52498,"private",6521,"moderately difficult",0.49,13250,"dallas","TX"
"fordham university",50986,50986,"private",9258,"very difficult",0.48,42811,"new york","NY"
"baruch college",7061,17931,"public",15210,"very difficult",0.31,20789,"new york","NY"
"concordia college new york",31600,31600,"private",1185,"moderately difficult",0.71,974,"bronxville","NY"
"lehman college",7010,17880,"public",11477,"moderately difficult",0.32,14318,"bronx","NY"
"wichita state university",8094,17052,"public",11823,"noncompetitive",0.96,6306,"wichita","KS"
"covenant college",33170,33170,"private",1044,"moderately difficult",0.94,615,"lookout mountain","GA"
"kentucky christian university",19256,19256,"private",602,"moderately difficult",0.48,886,"grayson","KY"
"dickinson college",52955,52955,"private",2420,"very difficult",0.43,6172,"carlisle","PA"
"tabor college",27220,27220,"private",670,"moderately difficult",0.56,631,"hillsboro","KS"
"golden gate university",15584,15584,"private",458,"moderately difficult",NA,NA,"san francisco","CA"
"mcpherson college",28569,28569,"private",637,"moderately difficult",0.63,887,"mcpherson","KS"
"texas a&m university commerce",8723,21173,"public",7605,"moderately difficult",0.45,7986,"commerce","TX"
"concordia university irvine",34100,34100,"private",1925,"moderately difficult",0.65,3839,"irvine","CA"
"eastern washington university",7085,23837,"public",11217,"",NA,NA,"cheney","WA"
"fresno pacific university",30458,30458,"private",2439,"moderately difficult",0.68,644,"fresno","CA"
"queens college",7138,18008,"public",16326,"very difficult",0.41,18142,"queens","NY"
"doane college",32250,32250,"private",1047,"",NA,NA,"crete","NE"
"southern new hampshire university",31136,31136,"private",3020,"moderately difficult",0.93,4207,"manchester","NH"
"university of the sacred heart",7200,7200,"private",4635,"moderately difficult",0.35,5261,"san juan","PR"
"saint mary's college of california",45686,45686,"private",2802,"moderately difficult",0.8,4711,"moraga","CA"
"pontifical catholic university of puerto rico",5370,5370,"private",5371,"moderately difficult",0.83,1798,"ponce","PR"
"university of texas el paso",7651,21396,"public",20521,"minimally difficult",1,8684,"el paso","TX"
"university of puerto rico bayamon",2022,2022,"public",4927,"very difficult",0.23,5443,"bayamón","PR"
"franklin & marshall college",54580,54580,"private",2255,"very difficult",0.36,6953,"lancaster","PA"
"universidad adventista de las antillas",6570,6570,"private",1256,"minimally difficult",0.81,513,"mayagüez","PR"
"university of puerto rico cayey",NA,NA,"public",3830,"moderately difficult",0.78,2471,"cayey","PR"
"lincoln university",11379,16389,"public",2618,"noncompetitive",0.52,5077,"jefferson city","MO"
"lincoln university",11379,16389,"public",1824,"minimally difficult",0.87,3685,"lincoln university","PA"
"lincoln university",11379,16389,"private",252,"minimally difficult",0.81,276,"oakland","CA"
"university of puerto rico ponce",2048,2048,"public",3229,"moderately difficult",0.74,1222,"ponce","PR"
"jacksonville university",35260,35260,"private",2889,"moderately difficult",0.49,5506,"jacksonville","FL"
"university of puerto rico arecibo",2048,2048,"public",4352,"very difficult",0.47,2588,"arecibo","PR"
"california baptist university",32566,32566,"private",6937,"moderately difficult",0.64,4971,"riverside","CA"
"university of puerto rico mayaguez",NA,NA,"public",12758,"moderately difficult",0.77,3275,"mayagüez","PR"
"georgetown university",52300,52300,"private",7453,"most difficult",0.17,19997,"washington","DC"
"ball state university",9774,25942,"public",17011,"",NA,NA,"muncie","IN"
"aquinas college",31244,31244,"private",1654,"moderately difficult",0.91,1706,"grand rapids","MI"
"aquinas college",31244,31244,"private",337,"minimally difficult",0.52,183,"nashville","TN"
"ashland university",20700,20700,"private",4536,"moderately difficult",0.67,3443,"ashland","OH"
"alverno college",28277,28277,"private",1413,"moderately difficult",0.74,698,"milwaukee","WI"
"augsburg college",37615,37615,"private",2550,"moderately difficult",0.45,3487,"minneapolis","MN"
"baldwin wallace university",31668,31668,"private",3305,"moderately difficult",0.6,4515,"berea","OH"
"adrian college",36010,36010,"private",1647,"moderately difficult",0.56,4675,"adrian","MI"
"canisius college",36454,36454,"private",2595,"moderately difficult",0.78,4620,"buffalo","NY"
"lewis & clark college",48988,48988,"private",2134,"very difficult",0.55,7796,"portland","OR"
"murray state university",8340,22728,"public",8886,"moderately difficult",0.85,6479,"murray","KY"
"carroll college",34480,34480,"private",1373,"moderately difficult",0.71,3005,"helena","MT"
"curtis institute of music",NA,NA,"private",135,"most difficult",NA,NA,"philadelphia","PA"
"new jersey institute of technology",16898,31918,"public",8008,"moderately difficult",0.61,6045,"newark","NJ"
"niagara university",31950,31950,"private",3136,"moderately difficult",0.83,3359,"niagara university","NY"
"nyack college",25350,25350,"private",1451,"minimally difficult",1,455,"nyack","NY"
"elon university",34273,34273,"private",6008,"moderately difficult",0.6,10098,"elon","NC"
"emory & henry college",35050,35050,"private",1024,"",0.7,1455,"emory","VA"
"ferrum college",33025,33025,"private",1451,"minimally difficult",0.73,3286,"ferrum","VA"
"fisk university",21480,21480,"private",805,"moderately difficult",0.81,3004,"nashville","TN"
"georgia state university",10858,29432,"public",25455,"moderately difficult",0.53,17467,"atlanta","GA"
"university of colorado boulder",12086,36220,"public",27846,"moderately difficult",0.77,34047,"boulder","CO"
"university of dallas",38716,38716,"private",1342,"moderately difficult",0.64,2228,"irving","TX"
"friends university",27565,27565,"private",1192,"moderately difficult",0.55,749,"wichita","KS"
"five towns college",19380,19380,"private for profit",654,"moderately difficult",0.62,382,"dix hills","NY"
"edward waters college",13725,13725,"private",751,"noncompetitive",0.23,1611,"jacksonville","FL"
"hellenic college",22490,22490,"private",92,"minimally difficult",0.65,68,"brookline","MA"
"judson college",17896,17896,"private",374,"moderately difficult",0.63,329,"marion","AL"
"kansas city art institute",37800,37800,"private",635,"moderately difficult",0.65,778,"kansas city","MO"
"philander smith college",12414,12414,"private",765,"minimally difficult",0.52,3330,"little rock","AR"
"empire state college",7185,16835,"public",10191,"noncompetitive",0.76,904,"saratoga springs","NY"
"cumberland university",21810,21810,"private",1254,"moderately difficult",0.46,713,"lebanon","TN"
"lourdes university",21540,21540,"private",1125,"moderately difficult",0.89,919,"sylvania","OH"
"thomas edison state college",7300,9820,"public",16506,"noncompetitive",NA,NA,"trenton","NJ"
"union institute & university",16076,16076,"private",837,"noncompetitive",NA,NA,"cincinnati","OH"
"university of pittsburgh greensburg",13870,25114,"public",1520,"moderately difficult",0.76,2670,"greensburg","PA"
"loma linda university",33932,33932,"private",1232,"",NA,NA,"loma linda","CA"
"concordia university texas",30600,30600,"private",1567,"moderately difficult",0.83,853,"austin","TX"
"athens state university",6690,12630,"public",3025,"noncompetitive",NA,NA,"athens","AL"
"brewton-parker college",18190,18190,"private",666,"minimally difficult",NA,NA,"mt vernon","GA"
"life university",11715,11715,"private",718,"minimally difficult",0.92,280,"marietta","GA"
"rush university",24630,24630,"private",166,"moderately difficult",0.37,398,"chicago","IL"
"indiana university east",7207,19038,"public",4287,"moderately difficult",0.6,1226,"richmond","IN"
"louisiana state university health sciences center",6923,13705,"public",873,"",NA,NA,"new orleans","LA"
"bay path college",33557,33557,"private",1893,"moderately difficult",0.6,1542,"longmeadow","MA"
"endicott college",32154,32154,"private",3268,"moderately difficult",0.79,3619,"beverly","MA"
"baker college of flint",11250,11250,"private",24099,"minimally difficult",1,8662,"flint","MI"
"university of nebraska medical center",NA,NA,"public",1013,"",NA,NA,"omaha","NE"
"granite state college",9435,10575,"public",1851,"noncompetitive",1,289,"concord","NH"
"beth medrash govoha",20788,20788,"private",2747,"moderately difficult",NA,NA,"lakewood","NJ"
"vaughn college of aeronautics & technology",24710,24710,"private",1540,"moderately difficult",0.69,800,"flushing","NY"
"metropolitan college of new york",19180,19180,"private",697,"moderately difficult",0.4,257,"new york","NY"
"suny downstate medical center",7074,16924,"public",343,"moderately difficult",0.14,1005,"brooklyn","NY"
"chowan university",24480,24480,"private",1525,"minimally difficult",0.57,4364,"murfreesboro","NC"
"lees-mcrae college",26198,26198,"private",991,"minimally difficult",0.63,1531,"banner elk","NC"
"oregon health & science university",18765,32985,"public",827,"",NA,NA,"portland","OR"
"anderson university",26920,26920,"private",1883,"moderately difficult",0.66,2650,"anderson","IN"
"anderson university",26920,26920,"private",2940,"minimally difficult",0.54,3316,"anderson","SC"
"medical university of south carolina",15168,23182,"public",205,"very difficult",NA,NA,"charleston","SC"
"oglala lakota college",3284,3284,"public",NA,"",NA,NA,"kyle","SD"
"texas a&m university texarkana",7635,21900,"public",1061,"noncompetitive",NA,NA,"texarkana","TX"
"university of houston victoria",7627,20077,"public",3012,"minimally difficult",0.56,3950,"victoria","TX"
"university of texas medical branch",7422,19954,"public",492,"very difficult",NA,NA,"galveston","TX"
"city university of seattle",NA,NA,"private",1035,"noncompetitive",1,86,"seattle","WA"
"midway college",23850,23850,"private",1513,"minimally difficult",NA,NA,"midway","KY"
"clayton state university",6410,19486,"public",6555,"minimally difficult",0.41,2295,"morrow","GA"
"shawnee state university",7460,13268,"public",3603,"noncompetitive",0.74,3614,"portsmouth","OH"
"wisconsin lutheran college",29140,29140,"private",1070,"moderately difficult",0.64,870,"milwaukee","WI"
"humphreys college",14004,14004,"private",669,"noncompetitive",NA,NA,"stockton","CA"
"hilbert college",21800,21800,"private",809,"minimally difficult",0.81,968,"hamburg","NY"
"champlain college",39818,39818,"private",2267,"moderately difficult",0.7,4576,"burlington","VT"
"art institute of portland",17316,17316,"private for profit",NA,"",NA,NA,"portland","OR"
"lasell college",34600,34600,"private",1788,"moderately difficult",0.76,3221,"newton","MA"
"mount aloysius college",22430,22430,"private",1720,"minimally difficult",NA,NA,"cresson","PA"
"alfred state college",8327,17977,"public",3699,"moderately difficult",0.57,4912,"alfred","NY"
"charter oak state college",9771,12591,"public",1533,"noncompetitive",NA,NA,"new britain","CT"
"martin university",16410,16410,"private",1074,"noncompetitive",0.96,243,"indianapolis","IN"
"montserrat college of art",32000,32000,"private",397,"moderately difficult",0.79,404,"beverly","MA"
"chamberlain college of nursing",19500,19500,"private for profit",543,"moderately difficult",NA,NA,"st louis","MO"
"chamberlain college of nursing",19500,19500,"private for profit",633,"",NA,NA,"phoenix","AZ"
"montreat college",25730,25730,"private",808,"moderately difficult",0.54,819,"montreat","NC"
"valley forge university",21271,21271,"private",810,"minimally difficult",0.79,465,"phoenixville","PA"
"presentation college",19450,19450,"private",748,"noncompetitive",0.74,340,"aberdeen","SD"
"sinte gleska university",3700,3700,"public",869,"noncompetitive",NA,NA,"mission","SD"
"criswell college",12138,12138,"private",225,"minimally difficult",1,25,"dallas","TX"
"southwestern christian college",8074,8074,"private",NA,"noncompetitive",NA,NA,"terrell","TX"
"arkansas baptist college",8760,8760,"private",626,"minimally difficult",NA,NA,"little rock","AR"
"central baptist college",15750,15750,"private",832,"minimally difficult",0.62,318,"conway","AR"
"life pacific college",14884,14884,"private",514,"minimally difficult",1,75,"san dimas","CA"
"lincoln university",10800,10800,"public",2618,"noncompetitive",0.52,5077,"jefferson city","MO"
"lincoln university",10800,10800,"public",1824,"minimally difficult",0.87,3685,"lincoln university","PA"
"lincoln university",10800,10800,"private",252,"minimally difficult",0.81,276,"oakland","CA"
"emmanuel college",19710,19710,"private",2012,"",0.71,6223,"boston","MA"
"emmanuel college",19710,19710,"private",920,"minimally difficult",0.41,1386,"franklin springs","GA"
"lincoln christian university",13020,13020,"private",528,"moderately difficult",0.56,234,"lincoln","IL"
"great lakes christian college",15550,15550,"private",225,"minimally difficult",NA,NA,"lansing","MI"
"research college of nursing",36600,36600,"private for profit",340,"moderately difficult",0.73,339,"kansas city","MO"
"grace university",23030,23030,"private",366,"moderately difficult",0.64,228,"omaha","NE"
"piedmont international university",10100,10100,"private",197,"noncompetitive",0.49,85,"winston salem","NC"
"trinity bible college",16040,16040,"private",197,"noncompetitive",NA,NA,"ellendale","ND"
"mid-america christian university",17830,17830,"private",869,"noncompetitive",NA,NA,"oklahoma city","OK"
"allen university",13040,13040,"private",827,"minimally difficult",0.72,1937,"columbia","SC"
"university of minnesota crookston",12202,12202,"public",2823,"minimally difficult",0.78,1073,"crookston","MN"
"state university of new york of agriculture & technology cobleskill",NA,NA,NA,2304,"minimally difficult",0.78,2897,"cobleskill","NY"
"art institute of fort lauderdale",22105,22105,"private for profit",NA,"",NA,NA,"fort lauderdale","FL"
"thomas university",16715,16715,"private",769,"minimally difficult",0.47,416,"thomasville","GA"
"university of maryland university college",7386,12426,"public",44219,"noncompetitive",1,1981,"adelphi","MD"
"university of mississippi medical center",8268,24246,"public",512,"",NA,NA,"jackson","MS"
"california state university san marcos",7648,19528,"public",12562,"moderately difficult",0.73,12872,"san marcos","CA"
"o'more college of design",29880,29880,"private",170,"moderately difficult",0.8,132,"franklin","TN"
"concordia college alabama",10120,10120,"private",611,"moderately difficult",NA,NA,"selma","AL"
"york college",18760,18760,"public",8258,"moderately difficult",0.61,13726,"jamaica","NY"
"york college",18760,18760,"private",430,"moderately difficult",0.6,485,"york","NE"
"design institute of san diego",22510,22510,"private for profit",143,"",NA,NA,"san diego","CA"
"holy apostles college & seminary",9670,9670,"private",58,"noncompetitive",1,10,"cromwell","CT"
"rabbinical college of america",11100,11100,"private",259,"minimally difficult",1,60,"morristown","NJ"
"talmudical academy of new jersey",13000,13000,"private",48,"",1,15,"adelphia","NJ"
"the jewish theological seminary",21740,21740,"private",190,"very difficult",0.6,124,"new york","NY"
"excelsior college",NA,NA,"private",35161,"",NA,NA,"albany","NY"
"heritage christian university",11232,11232,"private",63,"noncompetitive",1,8,"florence","AL"
"amridge university",7180,7180,"private",315,"minimally difficult",NA,NA,"montgomery","AL"
"johnson university florida",14920,14920,"private",185,"minimally difficult",0.62,232,"kissimmee","FL"
"st. john vianney college seminary",14760,14760,"private",NA,"moderately difficult",1,10,"miami","FL"
"talmudic university",13250,13250,"private",30,"moderately difficult",0.8,10,"miami beach","FL"
"point university",20600,20600,"private",1954,"moderately difficult",0.51,1184,"west point","GA"
"reinhardt university",22422,22422,"private",1334,"moderately difficult",0.9,1172,"waleska","GA"
"clear creek baptist bible college",9020,9020,"private",172,"noncompetitive",0.88,52,"pineville","KY"
"kentucky mountain bible college",7760,7760,"private",85,"minimally difficult",0.41,59,"jackson","KY"
"sullivan university",NA,NA,"private for profit",2504,"minimally difficult",0.77,3091,"louisville","KY"
"ner israel rabbinical college",11900,11900,"private",369,"moderately difficult",NA,NA,"baltimore","MD"
"southeastern baptist college",6550,6550,"private",79,"noncompetitive",NA,NA,"laurel","MS"
"john wesley university",13330,13330,"private",126,"moderately difficult",0.2,165,"high point","NC"
"mid-atlantic christian university",13200,13200,"private",186,"minimally difficult",0.5,212,"elizabeth city","NC"
